Date,Low,Open,Volume,High,Close,Adjusted Close
27-02-1998,17.375,17.375,50000,18.0,17.375,14.162830352783203
02-03-1998,17.0,17.25,75000,17.25,17.25,14.060942649841309
03-03-1998,16.75,17.125,35000,17.125,17.125,13.959053993225098
04-03-1998,15.5,15.75,60000,15.75,15.75,12.83825397491455
05-03-1998,16.125,16.125,400,16.125,16.125,13.143924713134766
06-03-1998,16.125,16.125,3600,16.375,16.125,13.143924713134766
09-03-1998,15.875,16.125,3200,16.5,15.875,12.940146446228027
10-03-1998,15.875,15.875,56800,16.875,16.25,13.245819091796875
11-03-1998,16.125,16.25,10400,16.5,16.25,13.245819091796875
12-03-1998,16.125,16.25,3800,16.375,16.375,13.347705841064453
13-03-1998,16.5,16.5,1000,16.5,16.5,13.44959831237793
16-03-1998,16.125,16.5,7700,16.5,16.125,13.143924713134766
17-03-1998,15.75,16.125,28000,16.125,15.875,12.940146446228027
18-03-1998,15.75,15.875,45700,16.125,16.125,13.143924713134766
19-03-1998,16.0,16.125,383600,17.375,17.125,13.959053993225098
20-03-1998,17.25,17.25,275600,17.75,17.75,14.46850872039795
23-03-1998,17.375,17.75,398600,19.0,18.875,15.38552474975586
24-03-1998,18.875,18.875,261800,19.875,19.75,16.098758697509766
25-03-1998,19.5,19.75,135600,20.125,19.875,16.200651168823242
26-03-1998,19.25,19.875,26300,19.875,19.625,15.996871948242188
27-03-1998,18.375,19.625,62200,19.75,19.25,15.691201210021973
30-03-1998,19.25,19.25,49500,19.875,19.875,16.200651168823242
31-03-1998,19.875,19.875,79000,20.25,20.125,16.404434204101562
01-04-1998,20.0,20.125,150100,20.625,20.5,16.71010971069336
02-04-1998,21.75,21.75,140500,23.375,23.25,18.95171356201172
03-04-1998,21.75,23.25,458700,26.125,24.75,20.17439079284668
06-04-1998,23.0,24.75,105300,26.0,24.0,19.563053131103516
07-04-1998,22.125,24.0,152800,24.0,22.125,18.034687042236328
08-04-1998,21.0,22.125,45100,23.0,22.5,18.340360641479492
09-04-1998,22.25,22.5,151400,23.0,23.0,18.7479248046875
13-04-1998,22.375,23.0,85900,23.25,22.625,18.4422550201416
14-04-1998,22.5,22.625,322900,23.0,22.75,18.544143676757812
15-04-1998,21.5,22.75,23100,22.875,21.75,17.72901153564453
16-04-1998,20.875,21.75,55400,21.75,21.25,17.321453094482422
17-04-1998,21.0,21.25,15100,21.625,21.625,17.627120971679688
20-04-1998,21.25,21.625,92900,22.125,22.125,18.034687042236328
21-04-1998,21.75,22.125,23100,22.125,22.125,18.034687042236328
22-04-1998,22.125,22.125,60900,23.625,23.0,18.7479248046875
23-04-1998,23.0,23.0,242300,23.5,23.5,19.15548324584961
24-04-1998,22.0,23.5,100900,23.625,22.0,17.93280029296875
27-04-1998,19.875,22.0,52200,22.5,20.875,17.015775680541992
28-04-1998,20.75,20.875,29100,21.875,21.5,17.525236129760742
29-04-1998,21.0,21.5,101300,22.5,22.5,18.340360641479492
30-04-1998,22.375,22.5,116300,23.25,23.0,18.7479248046875
01-05-1998,22.0,23.0,61000,23.125,22.125,18.034687042236328
04-05-1998,21.25,22.125,58400,22.25,21.625,17.627120971679688
05-05-1998,20.75,21.625,44000,21.75,21.25,17.321453094482422
06-05-1998,20.875,21.25,47300,22.0,22.0,17.93280029296875
07-05-1998,21.375,22.0,230900,22.125,21.375,17.423341751098633
08-05-1998,21.75,21.75,320700,22.75,22.625,18.4422550201416
11-05-1998,22.25,22.625,375200,22.75,22.375,18.238475799560547
12-05-1998,22.0,22.375,333300,22.625,22.0,17.93280029296875
13-05-1998,22.125,22.125,88100,22.625,22.375,18.238475799560547
14-05-1998,22.0,22.375,35600,22.5,22.5,18.340360641479492
