Date,Low,Open,Volume,High,Close,Adjusted Close
28-05-1997,20.625,20.625,1862700,21.375,21.0,8.554853439331055
29-05-1997,21.0,21.0,296800,21.375,21.375,8.70761775970459
30-05-1997,21.125,21.125,220400,22.125,22.0,8.962227821350098
02-06-1997,21.5,22.125,66800,22.25,22.0,8.962227821350098
03-06-1997,21.625,21.75,180000,22.125,22.125,9.013150215148926
04-06-1997,21.75,22.25,99900,22.25,21.875,8.911303520202637
05-06-1997,21.25,21.5,291600,21.875,21.875,8.911303520202637
06-06-1997,21.5,21.5,0,21.5,21.5,8.758539199829102
09-06-1997,21.5,21.5,0,21.5,21.5,8.758539199829102
10-06-1997,21.5,21.5,57600,21.75,21.75,8.86038875579834
11-06-1997,21.125,21.375,146600,21.625,21.25,8.656696319580078
12-06-1997,21.125,21.25,73300,21.625,21.375,8.70761775970459
13-06-1997,21.25,21.25,134200,21.375,21.25,8.656696319580078
16-06-1997,21.25,21.25,73200,21.625,21.625,8.809459686279297
17-06-1997,21.375,21.375,53300,21.5,21.375,8.70761775970459
18-06-1997,21.375,21.5,54100,21.625,21.5,8.758539199829102
19-06-1997,21.5,21.5,44100,21.625,21.5,8.758539199829102
20-06-1997,21.5,21.5,37800,21.75,21.625,8.809459686279297
23-06-1997,21.375,21.625,80800,21.875,21.375,8.70761775970459
24-06-1997,21.25,21.5,116000,21.5,21.5,8.758539199829102
25-06-1997,21.25,21.5,127400,21.625,21.625,8.809459686279297
26-06-1997,21.5,21.625,52100,21.75,21.625,8.809459686279297
27-06-1997,21.375,21.5,44500,21.875,21.75,8.86038875579834
30-06-1997,21.375,21.75,60300,21.875,21.875,8.911303520202637
01-07-1997,21.625,21.625,121300,22.625,22.5,9.165912628173828
02-07-1997,22.125,22.5,77300,22.5,22.5,9.165912628173828
03-07-1997,22.375,22.625,46000,22.75,22.75,9.267762184143066
07-07-1997,22.625,22.75,122200,23.0,22.75,9.267762184143066
08-07-1997,22.375,22.75,50400,22.75,22.75,9.267762184143066
09-07-1997,22.5,22.75,97000,22.875,22.75,9.267762184143066
10-07-1997,22.625,22.75,99000,22.875,22.75,9.267762184143066
11-07-1997,22.25,22.75,136100,22.875,22.875,9.318683624267578
14-07-1997,22.875,22.875,106600,23.875,23.5,9.573287010192871
15-07-1997,23.25,23.25,85400,24.0,23.75,9.675130844116211
16-07-1997,23.75,24.0,68800,24.25,24.0,9.776973724365234
17-07-1997,23.625,23.75,53000,24.125,23.875,9.726056098937988
18-07-1997,23.75,23.75,126500,23.875,23.875,9.726056098937988
21-07-1997,23.75,23.875,111800,24.0,24.0,9.776973724365234
22-07-1997,23.75,24.0,38800,24.0,24.0,9.776973724365234
23-07-1997,23.875,24.0,180000,24.25,24.25,9.878824234008789
24-07-1997,24.0,24.0,47600,24.125,24.0,9.776973724365234
25-07-1997,24.0,24.125,25500,24.25,24.25,9.878824234008789
28-07-1997,24.125,24.25,96800,24.5,24.25,9.878824234008789
29-07-1997,24.0,24.25,19900,24.375,24.375,9.929739952087402
30-07-1997,24.375,24.375,59600,24.625,24.5,9.98066234588623
31-07-1997,24.625,24.625,83500,25.0,24.625,10.031583786010742
01-08-1997,24.625,24.75,18700,25.0,24.75,10.08250904083252
04-08-1997,24.625,24.625,25700,25.75,25.75,10.489880561828613
05-08-1997,24.875,25.625,393700,25.625,25.5,10.388036727905273
06-08-1997,25.25,25.5,59700,25.5,25.375,10.337120056152344
07-08-1997,25.5,25.625,23800,25.75,25.5,10.388036727905273
08-08-1997,25.375,25.5,25500,26.0,26.0,10.591715812683105
11-08-1997,25.625,26.125,9600,26.125,25.625,10.438957214355469
12-08-1997,25.5,25.75,44600,25.875,25.5,10.388036727905273
13-08-1997,25.5,25.5,47300,25.75,25.5,10.388036727905273
14-08-1997,25.5,25.5,8800,25.875,25.625,10.438957214355469
15-08-1997,25.5,25.5,2800,25.5,25.5,10.388036727905273
18-08-1997,25.5,25.5,4900,25.625,25.5,10.388036727905273
19-08-1997,25.5,25.5,22600,26.125,26.0,10.591715812683105
20-08-1997,26.0,26.0,68800,26.125,26.0,10.591715812683105
21-08-1997,26.0,26.125,43200,26.25,26.0,10.591715812683105
22-08-1997,25.875,26.0,22000,26.25,26.125,10.6426420211792
25-08-1997,26.125,26.25,16300,26.5,26.25,10.693568229675293
26-08-1997,25.625,26.0,19200,26.125,25.625,10.438957214355469
27-08-1997,25.625,25.75,3900,25.875,25.75,10.489880561828613
28-08-1997,25.75,25.75,8300,26.25,26.125,10.6426420211792
29-08-1997,26.0,26.125,4600,26.25,26.125,10.6426420211792
02-09-1997,25.875,26.125,14600,26.25,26.125,10.6426420211792
03-09-1997,26.125,26.125,19000,27.0,27.0,10.999095916748047
04-09-1997,26.875,26.875,31100,27.625,27.625,11.253708839416504
05-09-1997,27.375,27.375,51700,28.5,28.5,11.610153198242188
08-09-1997,27.5,28.25,90400,28.375,27.5,11.20278263092041
09-09-1997,27.0,27.0,0,27.0,27.0,10.999095916748047
10-09-1997,26.0,26.875,41300,27.0,26.125,10.6426420211792
11-09-1997,26.125,26.125,102800,26.375,26.375,10.744489669799805
12-09-1997,26.0,26.125,21500,26.375,26.125,10.6426420211792
15-09-1997,26.0,26.0,9500,26.875,26.75,10.897252082824707
16-09-1997,26.75,26.75,9700,27.375,27.25,11.100935935974121
17-09-1997,26.875,27.5,41100,27.625,27.0,10.999095916748047
18-09-1997,27.0,27.25,3400,27.25,27.0,10.999095916748047
19-09-1997,26.625,26.75,50600,27.0,26.625,10.846330642700195
22-09-1997,26.5,26.625,51900,27.0,27.0,10.999095916748047
23-09-1997,26.875,27.25,111200,27.25,27.125,11.050017356872559
24-09-1997,26.5,27.125,60700,27.25,26.75,10.897252082824707
25-09-1997,26.5,26.75,18700,27.375,27.125,11.050017356872559
26-09-1997,27.125,27.125,4200,27.375,27.25,11.100935935974121
29-09-1997,27.25,27.25,8000,28.0,27.75,11.304627418518066
30-09-1997,27.75,27.75,12100,28.5,28.5,11.610153198242188
01-10-1997,28.375,28.375,9900,29.0,29.0,11.813848495483398
02-10-1997,28.625,29.0,8100,29.0,28.625,11.661079406738281
03-10-1997,28.625,28.75,4200,28.875,28.625,11.661079406738281
06-10-1997,28.5,28.625,5400,28.75,28.5,11.610153198242188
07-10-1997,28.375,28.5,46900,28.75,28.75,11.712007522583008
08-10-1997,27.875,28.375,10900,28.375,28.0,11.406466484069824
09-10-1997,28.0,28.125,12500,28.125,28.125,11.457395553588867
10-10-1997,28.25,28.25,17600,28.5,28.375,11.559237480163574
13-10-1997,28.375,28.375,3600,28.5,28.5,11.610153198242188
14-10-1997,28.375,28.5,5600,28.5,28.375,11.559237480163574
15-10-1997,28.25,28.25,2300,28.375,28.25,11.508315086364746
16-10-1997,28.25,28.375,5400,28.5,28.5,11.610153198242188
17-10-1997,27.75,28.375,14100,28.5,27.75,11.304627418518066
20-10-1997,27.375,27.625,9800,27.625,27.375,11.151861190795898
21-10-1997,27.125,27.25,3100,27.375,27.25,11.100935935974121
22-10-1997,27.375,27.5,87700,27.625,27.625,11.253708839416504
23-10-1997,27.125,27.375,77700,27.375,27.375,11.151861190795898
24-10-1997,27.125,27.125,4400,27.625,27.625,11.253708839416504
27-10-1997,27.0,27.375,199500,27.375,27.25,11.100935935974121
28-10-1997,26.625,27.0,14300,27.0,27.0,10.999095916748047
29-10-1997,27.0,27.125,7900,27.875,27.875,11.355552673339844
30-10-1997,27.875,27.875,500,27.875,27.875,11.355552673339844
31-10-1997,27.375,27.75,5600,28.0,27.375,11.151861190795898
03-11-1997,27.5,27.625,80700,27.75,27.75,11.304627418518066
04-11-1997,27.375,27.625,24300,28.0,28.0,11.406466484069824
05-11-1997,28.125,28.125,68900,29.25,29.25,11.915690422058105
06-11-1997,29.0,29.0,38600,29.375,29.25,11.915690422058105
07-11-1997,28.875,29.0,6900,29.0,28.875,11.76292610168457
10-11-1997,28.25,29.0,29500,29.0,28.25,11.508315086364746
11-11-1997,27.875,28.125,2300,28.25,27.875,11.355552673339844
12-11-1997,27.625,28.0,28000,28.0,27.75,11.304627418518066
13-11-1997,27.5,27.75,6800,27.75,27.5,11.20278263092041
14-11-1997,27.375,27.5,3700,27.75,27.5,11.20278263092041
17-11-1997,27.625,27.625,6800,27.875,27.875,11.355552673339844
18-11-1997,28.0,28.0,2700,28.25,28.25,11.508315086364746
19-11-1997,28.25,28.25,13200,28.625,28.625,11.661079406738281
20-11-1997,29.0,29.0,61700,30.5,30.125,12.272141456604004
21-11-1997,30.125,30.375,62400,30.5,30.5,12.424905776977539
24-11-1997,30.25,30.375,17800,30.875,30.875,12.577672958374023
25-11-1997,30.875,31.0,17400,31.875,31.75,12.934120178222656
26-11-1997,31.375,31.875,94200,31.875,31.375,12.781357765197754
28-11-1997,31.125,31.5,12600,31.5,31.125,12.679511070251465
01-12-1997,29.875,30.625,60200,30.625,30.25,12.323066711425781
02-12-1997,29.875,29.875,36600,30.25,30.25,12.323066711425781
03-12-1997,29.0,30.25,85000,30.375,29.0,11.813848495483398
04-12-1997,29.0,29.125,68600,29.25,29.125,11.864767074584961
05-12-1997,29.0,29.125,6800,29.125,29.125,11.864767074584961
08-12-1997,29.125,29.125,39800,29.375,29.375,11.966612815856934
09-12-1997,29.625,29.625,233300,30.625,30.25,12.323066711425781
10-12-1997,30.0,30.25,55900,30.375,30.0,12.221217155456543
11-12-1997,29.875,29.875,32000,30.125,29.875,12.170299530029297
12-12-1997,29.625,29.75,26900,30.5,30.375,12.37398624420166
15-12-1997,30.0,30.5,31300,30.625,30.625,12.475828170776367
16-12-1997,29.875,30.5,154800,30.625,30.375,12.37398624420166
17-12-1997,30.0,30.25,150100,30.5,30.5,12.424905776977539
18-12-1997,29.75,30.375,62900,30.375,30.0,12.221217155456543
19-12-1997,29.625,29.75,35200,29.875,29.875,12.170299530029297
22-12-1997,30.0,30.0,6000,30.875,30.875,12.577672958374023
23-12-1997,30.625,30.875,5900,30.875,30.625,12.475828170776367
24-12-1997,30.25,30.5,2100,30.5,30.375,12.37398624420166
26-12-1997,30.25,30.375,2200,30.375,30.25,12.323066711425781
29-12-1997,30.125,30.25,28200,30.5,30.5,12.424905776977539
30-12-1997,30.625,30.625,14100,31.375,31.125,12.679511070251465
31-12-1997,30.75,31.25,20800,31.875,31.5,12.832277297973633
02-01-1998,31.375,31.375,3400,31.625,31.625,12.88320255279541
05-01-1998,31.625,31.75,26000,32.0,31.75,12.934120178222656
06-01-1998,32.0,32.0,23400,32.375,32.375,13.188735008239746
07-01-1998,31.75,31.75,76300,32.0,31.875,12.985044479370117
08-01-1998,31.5,32.0,29400,32.0,31.625,12.88320255279541
09-01-1998,31.5,31.75,12000,31.75,31.75,12.934120178222656
12-01-1998,30.75,31.125,30600,31.125,30.75,12.526749610900879
13-01-1998,30.75,30.9375,91600,32.125,32.0,13.035970687866211
14-01-1998,31.875,31.9375,58700,32.0,32.0,13.035970687866211
15-01-1998,31.6875,32.0,33000,32.0,32.0,13.035970687866211
16-01-1998,32.25,32.25,90400,32.6875,32.4375,13.214194297790527
20-01-1998,32.25,32.625,25400,32.625,32.3125,13.163267135620117
