Date,Low,Open,Volume,High,Close,Adjusted Close
11-03-1994,20.625,20.625,2359000,20.875,20.875,7.5339035987854
14-03-1994,20.625,20.75,536500,20.75,20.625,7.443674564361572
15-03-1994,20.625,20.625,215700,20.75,20.625,7.443674564361572
16-03-1994,20.625,20.625,338600,21.375,21.375,7.714355945587158
17-03-1994,20.875,21.375,195900,21.375,21.125,7.624134063720703
18-03-1994,20.75,21.125,285700,21.125,21.0,7.579015731811523
21-03-1994,20.875,21.0,38900,21.0,20.875,7.5339035987854
22-03-1994,20.75,20.875,78400,20.875,20.75,7.488790512084961
23-03-1994,20.75,20.75,209200,21.5,21.25,7.669243335723877
24-03-1994,21.0,21.125,155000,21.125,21.0,7.579015731811523
25-03-1994,21.0,21.0,91500,21.125,21.0,7.579015731811523
28-03-1994,20.875,21.0,111200,21.125,21.125,7.624134063720703
29-03-1994,20.625,21.125,101200,21.125,20.625,7.443674564361572
30-03-1994,20.375,20.625,105000,20.75,20.5,7.39856481552124
31-03-1994,20.5,20.5,108300,20.625,20.625,7.443674564361572
04-04-1994,20.0,20.375,42300,20.375,20.125,7.2632269859313965
05-04-1994,20.25,20.25,55600,20.875,20.75,7.488790512084961
06-04-1994,20.75,20.75,31800,20.875,20.875,7.5339035987854
07-04-1994,20.75,20.875,52000,21.0,20.75,7.488790512084961
08-04-1994,20.5,20.75,24000,20.75,20.5,7.39856481552124
11-04-1994,20.375,20.5,44400,20.625,20.375,7.353452682495117
12-04-1994,20.25,20.375,15100,20.5,20.5,7.39856481552124
13-04-1994,20.375,20.5,30500,20.5,20.375,7.353452682495117
14-04-1994,20.375,20.375,38800,20.5,20.375,7.353452682495117
15-04-1994,20.125,20.375,12200,20.5,20.125,7.2632269859313965
18-04-1994,20.125,20.125,39800,20.375,20.125,7.2632269859313965
19-04-1994,20.25,20.25,24500,20.375,20.25,7.3083343505859375
20-04-1994,20.125,20.25,72000,20.25,20.25,7.3083343505859375
21-04-1994,20.25,20.25,15000,20.375,20.25,7.3083343505859375
22-04-1994,20.125,20.25,20700,20.5,20.5,7.39856481552124
25-04-1994,20.25,20.5,27300,20.5,20.25,7.3083343505859375
26-04-1994,20.375,20.375,64000,20.5,20.5,7.39856481552124
28-04-1994,20.5,20.5,27100,20.75,20.625,7.443674564361572
29-04-1994,20.5,20.625,5500,20.625,20.5,7.39856481552124
02-05-1994,20.5,20.5,11700,20.625,20.625,7.443674564361572
03-05-1994,20.375,20.625,29000,20.625,20.5,7.39856481552124
04-05-1994,20.25,20.5,39600,20.5,20.25,7.3083343505859375
05-05-1994,20.125,20.25,7600,20.375,20.375,7.353452682495117
06-05-1994,20.0,20.375,13600,20.375,20.125,7.2632269859313965
09-05-1994,20.125,20.125,3700,20.25,20.25,7.3083343505859375
10-05-1994,20.125,20.25,75100,20.25,20.25,7.3083343505859375
11-05-1994,20.125,20.25,81400,20.375,20.25,7.3083343505859375
12-05-1994,20.25,20.25,7100,20.375,20.25,7.3083343505859375
13-05-1994,20.25,20.25,14500,20.375,20.25,7.3083343505859375
16-05-1994,20.125,20.25,12600,20.375,20.25,7.3083343505859375
17-05-1994,20.125,20.25,13400,20.375,20.125,7.2632269859313965
18-05-1994,20.125,20.125,6700,20.375,20.375,7.353452682495117
19-05-1994,20.375,20.375,36500,20.5,20.5,7.39856481552124
20-05-1994,20.5,20.5,26800,20.75,20.5,7.39856481552124
23-05-1994,20.625,20.625,36200,21.0,21.0,7.579015731811523
24-05-1994,20.875,21.0,116200,21.375,21.375,7.714355945587158
25-05-1994,21.625,21.625,283300,21.875,21.75,7.849693775177002
26-05-1994,21.5,21.625,50200,21.625,21.5,7.759472846984863
27-05-1994,21.375,21.5,10000,21.625,21.375,7.714355945587158
31-05-1994,21.375,21.375,41400,21.5,21.5,7.759472846984863
01-06-1994,21.5,21.5,166300,21.875,21.75,7.849693775177002
02-06-1994,21.75,21.75,243600,21.875,21.75,7.849693775177002
03-06-1994,21.75,21.75,42400,21.875,21.75,7.849693775177002
06-06-1994,21.875,21.875,87200,22.75,22.625,8.165484428405762
07-06-1994,21.875,22.625,19700,22.625,21.875,7.8948073387146
08-06-1994,21.75,21.875,16100,22.125,21.875,7.8948073387146
09-06-1994,21.875,21.875,25000,22.0,22.0,7.939920425415039
10-06-1994,22.0,22.0,23900,22.125,22.0,7.939920425415039
13-06-1994,21.875,22.0,72800,22.0,22.0,7.939920425415039
14-06-1994,22.0,22.0,38700,22.25,22.125,7.985036849975586
15-06-1994,21.75,22.125,74700,22.25,22.0,7.939920425415039
16-06-1994,21.75,22.0,15200,22.0,21.875,7.8948073387146
17-06-1994,21.375,21.875,12700,21.875,21.375,7.714355945587158
20-06-1994,20.75,21.375,31300,21.375,21.0,7.579015731811523
21-06-1994,20.75,21.0,9800,21.0,21.0,7.579015731811523
22-06-1994,21.0,21.0,13200,21.25,21.25,7.669243335723877
23-06-1994,20.75,21.25,35400,21.25,20.75,7.488790512084961
24-06-1994,20.75,20.75,19400,21.375,21.375,7.714355945587158
27-06-1994,20.75,21.25,58300,21.25,20.75,7.488790512084961
28-06-1994,20.5,20.75,14500,21.0,20.625,7.443674564361572
29-06-1994,20.375,20.625,37700,20.75,20.5,7.39856481552124
30-06-1994,20.25,20.5,103200,20.5,20.5,7.39856481552124
01-07-1994,20.5,20.5,36800,21.5,21.25,7.669243335723877
05-07-1994,21.375,21.375,66800,22.0,21.625,7.804582118988037
06-07-1994,21.5,21.625,26500,21.875,21.75,7.849693775177002
07-07-1994,21.375,21.625,53900,21.625,21.5,7.759472846984863
08-07-1994,21.5,21.5,13200,21.625,21.625,7.804582118988037
11-07-1994,21.625,21.625,84800,22.125,21.75,7.849693775177002
12-07-1994,21.125,21.75,22700,22.0,21.25,7.669243335723877
13-07-1994,21.25,21.25,32700,21.5,21.375,7.714355945587158
14-07-1994,21.25,21.375,32400,21.75,21.625,7.804582118988037
15-07-1994,21.5,21.625,27200,21.625,21.625,7.804582118988037
18-07-1994,21.5,21.625,3200,21.625,21.5,7.759472846984863
19-07-1994,21.25,21.5,35000,21.5,21.25,7.669243335723877
20-07-1994,21.5,21.5,42900,21.625,21.625,7.804582118988037
21-07-1994,21.5,21.625,24800,21.875,21.875,7.8948073387146
22-07-1994,21.125,21.875,42000,21.875,21.125,7.624134063720703
25-07-1994,20.5,21.125,11200,21.25,20.5,7.39856481552124
26-07-1994,20.125,20.5,49300,20.5,20.5,7.39856481552124
27-07-1994,20.375,20.5,9100,20.75,20.5,7.39856481552124
28-07-1994,20.375,20.5,7200,20.75,20.5,7.39856481552124
29-07-1994,20.375,20.5,25200,20.5,20.5,7.39856481552124
01-08-1994,20.5,20.5,9000,20.75,20.75,7.488790512084961
02-08-1994,21.0,21.0,4700,21.5,21.5,7.759472846984863
03-08-1994,21.5,21.5,10600,21.875,21.875,7.8948073387146
04-08-1994,21.5,21.875,12600,22.0,21.5,7.759472846984863
05-08-1994,21.125,21.25,47100,21.25,21.125,7.624134063720703
08-08-1994,21.0,21.125,9100,21.25,21.0,7.579015731811523
09-08-1994,21.0,21.0,7300,21.25,21.0,7.579015731811523
10-08-1994,21.125,21.125,16300,21.25,21.125,7.624134063720703
11-08-1994,20.875,21.125,21500,21.25,21.125,7.624134063720703
12-08-1994,21.0,21.125,4200,21.375,21.25,7.669243335723877
15-08-1994,21.0,21.25,11600,21.25,21.0,7.579015731811523
16-08-1994,20.625,21.0,29100,21.0,20.625,7.443674564361572
17-08-1994,20.5,20.625,33500,20.75,20.5,7.39856481552124
18-08-1994,20.125,20.5,9500,20.625,20.25,7.3083343505859375
19-08-1994,20.375,20.375,22200,20.625,20.625,7.443674564361572
22-08-1994,20.5,20.625,5600,20.625,20.5,7.39856481552124
23-08-1994,20.25,20.5,107800,20.625,20.25,7.3083343505859375
24-08-1994,20.0,20.25,50500,20.375,20.0,7.218109130859375
25-08-1994,19.75,20.0,59300,20.125,19.875,7.17299222946167
26-08-1994,19.875,19.875,135800,20.125,20.0,7.218109130859375
29-08-1994,20.125,20.125,29100,20.375,20.125,7.2632269859313965
30-08-1994,20.25,20.25,4400,20.375,20.375,7.353452682495117
31-08-1994,20.125,20.375,11800,20.375,20.375,7.353452682495117
01-09-1994,20.25,20.375,23300,20.75,20.75,7.488790512084961
02-09-1994,20.875,20.875,8600,21.25,21.0,7.579015731811523
06-09-1994,20.75,21.0,3000,21.0,21.0,7.579015731811523
07-09-1994,20.75,20.875,8000,20.875,20.875,7.5339035987854
08-09-1994,20.75,20.875,5200,20.875,20.875,7.5339035987854
09-09-1994,20.75,20.875,23800,21.0,20.75,7.488790512084961
12-09-1994,20.75,20.75,1000,20.75,20.75,7.488790512084961
13-09-1994,20.75,20.75,62600,21.25,20.875,7.5339035987854
14-09-1994,20.625,20.875,2900,20.875,20.625,7.443674564361572
15-09-1994,20.625,20.625,4600,21.25,21.25,7.669243335723877
16-09-1994,20.875,21.25,16500,21.25,20.875,7.5339035987854
19-09-1994,21.0,21.0,24700,21.375,21.25,7.669243335723877
20-09-1994,21.125,21.25,33500,21.25,21.125,7.624134063720703
21-09-1994,21.0,21.125,32200,21.125,21.0,7.579015731811523
22-09-1994,20.75,21.0,52900,21.0,20.875,7.5339035987854
23-09-1994,20.25,20.875,46100,20.875,20.25,7.3083343505859375
26-09-1994,20.375,20.375,30900,20.5,20.375,7.353452682495117
27-09-1994,20.375,20.375,57100,21.0,20.5,7.39856481552124
28-09-1994,20.5,20.5,34700,20.75,20.625,7.443674564361572
29-09-1994,20.75,20.75,20200,21.25,21.25,7.669243335723877
30-09-1994,21.0,21.25,38800,21.25,21.25,7.669243335723877
03-10-1994,20.875,21.125,5800,21.125,21.0,7.579015731811523
04-10-1994,20.75,21.0,19000,21.125,20.875,7.5339035987854
05-10-1994,20.625,20.875,61100,20.875,20.75,7.488790512084961
06-10-1994,20.625,20.75,5100,20.75,20.625,7.443674564361572
07-10-1994,20.75,20.75,9300,21.125,21.0,7.579015731811523
10-10-1994,20.75,21.0,16300,21.0,20.75,7.488790512084961
11-10-1994,20.75,20.75,9300,21.0,20.875,7.5339035987854
12-10-1994,20.75,20.875,5300,20.875,20.875,7.5339035987854
13-10-1994,20.75,20.875,113500,21.0,20.75,7.488790512084961
14-10-1994,20.25,20.75,21100,20.75,20.25,7.3083343505859375
17-10-1994,20.0,20.25,96600,20.375,20.375,7.353452682495117
18-10-1994,20.25,20.375,9400,20.375,20.375,7.353452682495117
19-10-1994,20.25,20.375,61200,20.375,20.375,7.353452682495117
20-10-1994,20.125,20.375,36600,20.375,20.25,7.3083343505859375
21-10-1994,20.125,20.25,3300,20.25,20.25,7.3083343505859375
