Date,Low,Open,Volume,High,Close,Adjusted Close
01-10-1999,14.0,14.0,3162400,14.25,14.125,9.086962699890137
04-10-1999,14.0,14.125,533400,14.125,14.0,9.006545066833496
05-10-1999,14.0,14.0,270600,14.125,14.125,9.086962699890137
06-10-1999,14.125,14.125,205400,14.875,14.875,9.569453239440918
07-10-1999,14.0625,14.875,214200,14.875,14.125,9.086962699890137
08-10-1999,14.0625,14.1875,65600,14.1875,14.0625,9.04675006866455
11-10-1999,14.0,14.0625,77500,14.125,14.0625,9.04675006866455
12-10-1999,14.0,14.0625,49200,14.125,14.125,9.086962699890137
13-10-1999,14.0,14.125,49900,14.375,14.0625,9.04675006866455
14-10-1999,13.25,14.0,430900,14.0625,13.625,8.765297889709473
15-10-1999,12.6875,13.125,158200,13.1875,13.0625,8.403429985046387
18-10-1999,12.5,13.0,83800,13.0,12.8125,8.242595672607422
19-10-1999,12.75,12.75,58200,13.25,13.25,8.52405071258545
20-10-1999,13.125,13.375,62600,13.5,13.125,8.443634033203125
21-10-1999,13.0,13.125,98200,13.4375,13.4375,8.644673347473145
22-10-1999,13.3125,13.375,191200,13.5625,13.5,8.684883117675781
25-10-1999,13.4375,13.4375,153100,13.9375,13.9375,8.966339111328125
26-10-1999,13.8125,13.8125,65600,14.125,14.0,9.006545066833496
27-10-1999,14.0,14.0,100900,14.1875,14.0625,9.04675006866455
28-10-1999,14.125,14.1875,255300,14.5,14.125,9.086962699890137
29-10-1999,14.125,14.125,123200,15.25,15.25,9.810701370239258
01-11-1999,14.625,15.0,41800,15.0,14.75,9.489039421081543
02-11-1999,14.3125,14.75,66600,14.875,14.75,9.489039421081543
03-11-1999,14.6875,14.6875,18500,14.875,14.75,9.489039421081543
04-11-1999,14.5,14.875,72100,15.125,14.9375,9.609661102294922
05-11-1999,14.875,15.0,122900,15.875,15.75,10.13236141204834
08-11-1999,15.8125,15.875,240000,17.375,16.625,10.695271492004395
09-11-1999,16.125,16.75,42400,16.75,16.125,10.373608589172363
10-11-1999,15.8125,16.0,59900,16.125,16.0625,10.33340072631836
11-11-1999,16.0625,16.0625,20000,16.25,16.125,10.373608589172363
12-11-1999,16.25,16.25,248500,18.5,18.0,11.579843521118164
15-11-1999,17.5,18.1875,99200,18.1875,17.6875,11.378803253173828
16-11-1999,17.375,17.6875,95300,17.6875,17.4375,11.217973709106445
17-11-1999,17.25,17.6875,107900,18.25,17.5,11.258184432983398
18-11-1999,17.25,17.5,67500,17.5,17.25,11.097347259521484
19-11-1999,17.1875,17.25,31200,17.75,17.625,11.338597297668457
22-11-1999,17.5625,17.5625,36500,17.875,17.8125,11.45921516418457
23-11-1999,17.8125,17.8125,65500,19.375,19.125,12.303582191467285
24-11-1999,18.375,19.0,53800,19.0,18.5625,11.941717147827148
26-11-1999,18.375,18.5,2600,18.5,18.4375,11.861296653747559
29-11-1999,17.875,18.375,20200,18.375,18.125,11.660255432128906
30-11-1999,18.1875,18.1875,38100,18.5,18.375,11.821089744567871
01-12-1999,18.25,18.375,43800,18.625,18.5625,11.941717147827148
02-12-1999,18.5625,18.5625,33200,19.0,19.0,12.22317123413086
03-12-1999,19.0625,19.125,62000,19.375,19.1875,12.343792915344238
06-12-1999,18.25,19.1875,38200,19.1875,18.375,11.821089744567871
07-12-1999,18.4375,18.5,112500,19.0,18.625,11.981925964355469
08-12-1999,18.0,18.5,27700,18.5,18.1875,11.700465202331543
09-12-1999,18.125,18.25,15500,18.375,18.25,11.740675926208496
10-12-1999,17.625,18.125,22400,18.125,17.625,11.338597297668457
13-12-1999,17.4375,17.75,44500,18.0,17.4375,11.217973709106445
14-12-1999,17.0625,17.25,19400,17.25,17.125,11.016934394836426
15-12-1999,16.875,17.125,11100,17.125,17.125,11.016934394836426
16-12-1999,16.8125,17.0625,90700,17.25,16.8125,10.815895080566406
17-12-1999,16.6875,16.6875,37300,17.25,17.125,11.016934394836426
20-12-1999,16.8125,17.0,31300,17.0,16.9375,10.896309852600098
21-12-1999,16.875,16.9375,11800,17.0625,17.0,10.93652057647705
22-12-1999,17.125,17.125,6300,17.375,17.1875,11.05713939666748
23-12-1999,17.0,17.1875,3700,17.25,17.125,11.016934394836426
27-12-1999,17.0625,17.0625,2400,17.125,17.125,11.016934394836426
28-12-1999,17.0625,17.0625,65600,17.625,17.375,11.177762985229492
29-12-1999,17.125,17.4375,9600,17.4375,17.25,11.097347259521484
30-12-1999,17.125,17.125,5100,17.375,17.3125,11.137555122375488
31-12-1999,17.1875,17.25,13000,17.375,17.1875,11.05713939666748
03-01-2000,16.625,17.4375,64600,17.5,16.625,10.695271492004395
04-01-2000,15.625,16.625,81900,16.625,15.875,10.212782859802246
05-01-2000,15.0,15.75,38100,15.75,15.75,10.13236141204834
06-01-2000,15.75,15.75,41200,16.25,16.0,10.293192863464355
07-01-2000,15.75,15.875,34700,16.25,15.875,10.212782859802246
10-01-2000,16.0,16.5,94200,16.5,16.0,10.293192863464355
11-01-2000,16.0,16.125,39700,16.875,16.4375,10.574650764465332
12-01-2000,16.5,16.5,25100,17.125,17.125,11.016934394836426
13-01-2000,16.875,17.25,62000,17.5,16.9375,10.896309852600098
14-01-2000,16.875,17.0,183100,17.75,17.5,11.258184432983398
18-01-2000,17.75,17.75,77300,18.25,18.0,11.579843521118164
19-01-2000,17.9375,18.0,34500,18.375,18.25,11.740675926208496
20-01-2000,17.375,18.25,42200,18.25,17.5,11.258184432983398
21-01-2000,17.25,17.4375,16000,17.5,17.375,11.177762985229492
24-01-2000,17.0,17.5,10700,17.5,17.125,11.016934394836426
25-01-2000,17.0625,17.125,19200,17.5,17.25,11.097347259521484
26-01-2000,17.25,17.25,16600,17.5,17.4375,11.217973709106445
27-01-2000,17.4375,17.4375,33600,18.0,17.5,11.258184432983398
28-01-2000,17.3125,17.625,3900,17.625,17.375,11.177762985229492
31-01-2000,17.125,17.125,53900,17.5,17.5,11.258184432983398
01-02-2000,17.375,17.375,15400,17.75,17.75,11.419015884399414
02-02-2000,17.875,18.0,92700,18.125,17.9375,11.539637565612793
03-02-2000,17.9375,18.0625,35200,18.125,18.0,11.579843521118164
04-02-2000,18.125,18.125,51500,18.5625,18.4375,11.861296653747559
07-02-2000,18.375,18.4375,25200,18.5625,18.5,11.901503562927246
