Date,Low,Open,Volume,High,Close,Adjusted Close
18-06-1997,26.125,26.125,7918300,26.875,26.75,8.497209548950195
19-06-1997,26.5,26.875,1472400,27.0,26.625,8.457501411437988
20-06-1997,26.25,26.75,1030200,26.75,26.375,8.378092765808105
23-06-1997,26.125,26.375,628900,26.375,26.125,8.298683166503906
24-06-1997,26.0625,26.1875,541800,26.25,26.0625,8.278826713562012
25-06-1997,26.25,26.25,570500,26.5625,26.4375,8.397943496704102
26-06-1997,26.5625,26.75,488700,27.0,27.0,8.576623916625977
27-06-1997,26.75,27.0,586400,27.125,26.875,8.536918640136719
30-06-1997,26.25,26.8125,629800,27.5,27.25,8.656039237976074
01-07-1997,26.625,27.125,269700,27.125,26.625,8.457501411437988
02-07-1997,26.375,26.375,350800,26.625,26.375,8.378092765808105
03-07-1997,26.4375,26.4375,173000,26.75,26.625,8.457501411437988
07-07-1997,26.5,26.875,449500,26.9375,26.75,8.497209548950195
08-07-1997,26.625,26.6875,239400,26.875,26.6875,8.477355003356934
09-07-1997,26.5,26.625,226000,26.6875,26.5625,8.437649726867676
10-07-1997,26.3125,26.5,425100,26.5,26.375,8.378092765808105
11-07-1997,26.3125,26.375,326300,26.5,26.4375,8.397943496704102
14-07-1997,26.625,26.6875,311000,27.1875,26.75,8.497209548950195
15-07-1997,26.5625,26.9375,534400,26.9375,26.6875,8.477355003356934
16-07-1997,26.625,26.6875,443700,27.0,26.875,8.536918640136719
17-07-1997,26.9375,26.9375,443800,27.1875,27.0625,8.596478462219238
18-07-1997,26.375,27.0,359600,27.0625,26.625,8.457501411437988
21-07-1997,26.25,26.375,422700,26.875,26.8125,8.517066955566406
22-07-1997,26.75,26.8125,246500,26.9375,26.8125,8.517066955566406
23-07-1997,26.8125,26.9375,196900,26.9375,26.8125,8.517066955566406
24-07-1997,26.75,26.9375,481800,27.125,27.0625,8.596478462219238
25-07-1997,27.125,27.1875,225800,27.375,27.3125,8.675889015197754
28-07-1997,27.0,27.1875,127600,27.375,27.3125,8.675889015197754
29-07-1997,27.1875,27.25,350200,27.5625,27.4375,8.715596199035645
30-07-1997,27.0,27.4375,126600,27.625,27.5625,8.755300521850586
31-07-1997,27.5,27.5625,203500,28.0,27.875,8.854570388793945
01-08-1997,27.25,27.9375,85200,27.9375,27.875,8.854570388793945
04-08-1997,27.1875,27.9375,115600,28.0,27.875,8.854570388793945
05-08-1997,27.5625,27.6875,152900,28.3125,28.125,8.933982849121094
06-08-1997,27.9375,28.0,234900,29.375,29.375,9.331047058105469
07-08-1997,29.25,29.3125,358900,29.375,29.25,9.29134464263916
08-08-1997,28.0,29.0,387300,29.0,29.0,9.211929321289062
11-08-1997,27.625,28.875,164700,28.9375,28.1875,8.953837394714355
12-08-1997,27.9375,28.25,437100,28.375,27.9375,8.874422073364258
13-08-1997,27.5,28.0,323000,28.25,27.6875,8.795013427734375
14-08-1997,27.5,27.5625,89800,27.75,27.5,8.73544979095459
15-08-1997,27.5,27.625,120200,27.75,27.625,8.775155067443848
18-08-1997,27.5,27.5625,177000,27.8125,27.8125,8.834715843200684
19-08-1997,27.75,27.8125,161300,28.3125,28.25,8.97369384765625
20-08-1997,28.1875,28.375,206500,28.9375,28.6875,9.112662315368652
21-08-1997,28.5625,28.6875,133000,29.0625,29.0,9.211929321289062
22-08-1997,28.4375,28.6875,449700,29.5,29.25,9.29134464263916
25-08-1997,29.125,29.25,227300,29.375,29.3125,9.311197280883789
26-08-1997,29.25,29.375,266800,29.375,29.25,9.29134464263916
27-08-1997,29.25,29.25,183200,29.5,29.3125,9.311197280883789
28-08-1997,29.25,29.375,177900,29.75,29.5625,9.390608787536621
29-08-1997,29.5625,29.5625,176600,30.0,29.8125,9.470024108886719
02-09-1997,29.6875,29.75,194000,30.1875,29.875,9.489874839782715
