Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,5.234375,0.0,18400,5.5625,5.234375,2.1066040992736816
22-02-1973,5.234375,0.0,31200,5.328125,5.28125,2.1254684925079346
23-02-1973,5.0625,0.0,29600,5.28125,5.0625,2.037431240081787
26-02-1973,5.0,0.0,21600,5.09375,5.0,2.0122790336608887
27-02-1973,4.953125,0.0,12800,5.03125,4.953125,1.9934132099151611
28-02-1973,4.859375,0.0,44800,4.953125,4.9375,1.9871262311935425
01-03-1973,4.953125,0.0,23200,5.0,4.953125,1.9934132099151611
02-03-1973,4.84375,0.0,52800,4.984375,4.921875,1.991895318031311
05-03-1973,4.90625,0.0,21600,4.9375,4.90625,1.9855726957321167
06-03-1973,4.765625,0.0,18400,4.828125,4.796875,1.941306233406067
07-03-1973,4.625,0.0,141600,4.8125,4.65625,1.8843967914581299
08-03-1973,4.625,0.0,40000,4.75,4.6875,1.8970439434051514
09-03-1973,4.6875,0.0,88000,4.75,4.71875,1.909690260887146
12-03-1973,4.6875,0.0,46400,4.734375,4.6875,1.8970439434051514
13-03-1973,4.65625,0.0,60000,4.703125,4.6875,1.8970439434051514
14-03-1973,4.625,0.0,103200,4.6875,4.65625,1.8843967914581299
15-03-1973,4.375,0.0,70400,4.578125,4.375,1.770573616027832
16-03-1973,4.125,0.0,141600,4.296875,4.28125,1.732633113861084
19-03-1973,4.1875,0.0,69600,4.265625,4.234375,1.7136625051498413
20-03-1973,4.140625,0.0,72800,4.203125,4.203125,1.7010163068771362
21-03-1973,4.15625,0.0,60000,4.234375,4.234375,1.7136625051498413
22-03-1973,4.171875,0.0,82400,4.28125,4.28125,1.732633113861084
23-03-1973,4.25,0.0,79200,4.296875,4.296875,1.7389559745788574
26-03-1973,4.28125,0.0,51200,4.328125,4.296875,1.7389559745788574
27-03-1973,4.296875,0.0,76000,4.515625,4.515625,1.8274849653244019
28-03-1973,4.5625,0.0,70400,4.6875,4.640625,1.87807297706604
29-03-1973,4.671875,0.0,63200,4.96875,4.953125,2.004542827606201
30-03-1973,4.8125,0.0,40800,4.953125,4.90625,1.9855726957321167
02-04-1973,4.828125,0.0,24000,4.9375,4.859375,1.9666008949279785
03-04-1973,4.75,0.0,49600,4.859375,4.828125,1.9539549350738525
04-04-1973,4.640625,0.0,34400,4.8125,4.640625,1.87807297706604
05-04-1973,4.59375,0.0,68000,4.625,4.625,1.8717485666275024
06-04-1973,4.34375,0.0,46400,4.578125,4.34375,1.7579272985458374
09-04-1973,4.125,0.0,360800,4.390625,4.265625,1.7263097763061523
10-04-1973,4.296875,0.0,77600,4.40625,4.40625,1.7832216024398804
11-04-1973,4.46875,0.0,132800,4.671875,4.671875,1.8907195329666138
12-04-1973,4.6875,0.0,64800,4.875,4.84375,1.960277795791626
13-04-1973,4.8125,0.0,18400,4.890625,4.8125,1.9476312398910522
16-04-1973,4.65625,0.0,52800,4.8125,4.6875,1.8970439434051514
17-04-1973,4.6875,0.0,8000,4.703125,4.6875,1.8970439434051514
18-04-1973,4.515625,0.0,16800,4.6875,4.5625,1.8464550971984863
19-04-1973,4.5,0.0,28000,4.5625,4.5,1.8211616277694702
23-04-1973,4.5,0.0,27200,4.59375,4.5,1.8211616277694702
24-04-1973,4.53125,0.0,108800,4.578125,4.53125,1.8338102102279663
25-04-1973,4.359375,0.0,56000,4.484375,4.359375,1.7642505168914795
26-04-1973,4.328125,0.0,37600,4.421875,4.375,1.770573616027832
27-04-1973,4.25,0.0,54400,4.390625,4.25,1.7199862003326416
30-04-1973,4.171875,0.0,36800,4.484375,4.484375,1.8148376941680908
01-05-1973,4.34375,0.0,111200,4.515625,4.40625,1.7832216024398804
02-05-1973,4.359375,0.0,107200,4.515625,4.359375,1.7642505168914795
03-05-1973,4.296875,0.0,63200,4.375,4.296875,1.7389559745788574
04-05-1973,4.3125,0.0,183200,4.359375,4.359375,1.7642505168914795
07-05-1973,4.3125,0.0,36800,4.359375,4.3125,1.74527907371521
08-05-1973,4.1875,0.0,13600,4.25,4.234375,1.7136625051498413
09-05-1973,4.1875,0.0,16800,4.234375,4.234375,1.7136625051498413
10-05-1973,4.109375,0.0,56000,4.1875,4.125,1.6693989038467407
11-05-1973,4.171875,0.0,23200,4.21875,4.1875,1.6946920156478882
14-05-1973,4.09375,0.0,33600,4.140625,4.09375,1.6567516326904297
15-05-1973,3.953125,0.0,38400,4.078125,4.0,1.6188104152679443
16-05-1973,3.9375,0.0,94400,4.0,4.0,1.6188104152679443
17-05-1973,3.9375,0.0,11200,3.984375,3.9375,1.5935169458389282
18-05-1973,3.890625,0.0,24000,3.96875,3.921875,1.5871930122375488
21-05-1973,3.828125,0.0,64800,3.921875,3.875,1.5682233572006226
22-05-1973,3.78125,0.0,43200,3.9375,3.84375,1.5555756092071533
23-05-1973,3.84375,0.0,37600,3.890625,3.875,1.5682233572006226
24-05-1973,3.8125,0.0,16000,3.90625,3.890625,1.574546217918396
25-05-1973,3.875,0.0,57600,4.046875,3.984375,1.6124876737594604
29-05-1973,3.953125,0.0,18400,4.078125,4.0,1.6188104152679443
30-05-1973,3.875,0.0,19200,3.984375,3.875,1.5682233572006226
31-05-1973,3.84375,0.0,12000,3.9375,3.90625,1.5808695554733276
01-06-1973,3.8125,0.0,19200,3.875,3.875,1.5682233572006226
04-06-1973,3.8125,0.0,13600,3.875,3.875,1.5682233572006226
05-06-1973,3.8125,0.0,16800,3.890625,3.8125,1.54292893409729
06-06-1973,3.84375,0.0,138400,3.875,3.875,1.5682233572006226
07-06-1973,3.75,0.0,36800,3.8125,3.765625,1.5239585638046265
08-06-1973,3.8125,0.0,4800,3.859375,3.828125,1.5492521524429321
11-06-1973,3.78125,0.0,23200,3.84375,3.78125,1.5302817821502686
12-06-1973,3.828125,0.0,11200,4.0,3.953125,1.5998393297195435
13-06-1973,4.0,0.0,8800,4.046875,4.046875,1.6377815008163452
14-06-1973,4.046875,0.0,4800,4.046875,4.046875,1.6377815008163452
15-06-1973,3.875,0.0,20800,4.0,3.90625,1.5808695554733276
18-06-1973,3.796875,0.0,26400,3.875,3.796875,1.5366055965423584
19-06-1973,3.71875,0.0,80800,3.75,3.734375,1.511311411857605
20-06-1973,3.6875,0.0,26400,3.765625,3.71875,1.5049883127212524
21-06-1973,3.671875,0.0,5600,3.6875,3.671875,1.4860166311264038
22-06-1973,3.65625,0.0,30400,3.75,3.65625,1.4796940088272095
25-06-1973,3.6875,0.0,24800,3.796875,3.71875,1.5049883127212524
26-06-1973,3.703125,0.0,12000,3.765625,3.765625,1.5239585638046265
27-06-1973,3.703125,0.0,63200,3.828125,3.828125,1.5492521524429321
28-06-1973,3.828125,0.0,31200,3.9375,3.890625,1.574546217918396
29-06-1973,3.9375,0.0,22400,4.140625,4.109375,1.6630741357803345
02-07-1973,4.0625,0.0,23200,4.15625,4.125,1.6693989038467407
03-07-1973,4.125,0.0,47200,4.171875,4.171875,1.6883692741394043
05-07-1973,4.25,0.0,40000,4.546875,4.546875,1.8401316404342651
06-07-1973,4.53125,0.0,57600,4.625,4.578125,1.8527791500091553
09-07-1973,4.390625,0.0,24800,4.53125,4.390625,1.7768970727920532
10-07-1973,4.390625,0.0,20800,4.46875,4.4375,1.795867681503296
11-07-1973,4.4375,0.0,32800,4.625,4.515625,1.8274849653244019
12-07-1973,4.40625,0.0,15200,4.5,4.484375,1.8148376941680908
13-07-1973,4.453125,0.0,46400,4.5,4.46875,1.8085134029388428
16-07-1973,4.484375,0.0,185600,4.609375,4.609375,1.8654255867004395
17-07-1973,4.625,0.0,34400,4.75,4.75,1.9223369359970093
18-07-1973,4.71875,0.0,56000,4.75,4.75,1.9223369359970093
19-07-1973,4.75,0.0,11200,4.8125,4.8125,1.9476312398910522
20-07-1973,4.796875,0.0,119200,4.875,4.84375,1.960277795791626
23-07-1973,4.734375,0.0,30400,4.875,4.796875,1.941306233406067
