Date,Low,Open,Volume,High,Close,Adjusted Close
21-01-1983,31.5,0.0,140600,32.25,31.5,28.617868423461914
24-01-1983,33.5625,0.0,596933,33.75,33.5625,30.491655349731445
25-01-1983,35.4375,0.0,308600,35.625,35.4375,32.195091247558594
26-01-1983,35.4375,0.0,156533,35.625,35.4375,32.195091247558594
27-01-1983,37.3125,0.0,148333,37.5,37.3125,33.89855194091797
28-01-1983,36.75,0.0,148867,36.9375,36.75,33.38750457763672
31-01-1983,36.1875,0.0,126667,36.5625,36.1875,32.87647247314453
01-02-1983,35.0625,0.0,79333,35.25,35.0625,31.854402542114258
02-02-1983,34.875,0.0,86733,35.0625,34.875,31.6840763092041
03-02-1983,35.25,0.0,50600,35.4375,35.25,32.02477264404297
04-02-1983,35.4375,0.0,34867,35.625,35.4375,32.195091247558594
07-02-1983,35.625,0.0,78867,36.0,35.625,32.36544418334961
08-02-1983,35.625,0.0,54000,35.8125,35.625,32.36544418334961
09-02-1983,35.4375,0.0,37867,35.625,35.4375,32.195091247558594
10-02-1983,35.625,0.0,27200,35.8125,35.625,32.36544418334961
11-02-1983,35.625,0.0,39933,35.8125,35.625,32.36544418334961
14-02-1983,35.625,0.0,65133,35.8125,35.625,32.36544418334961
15-02-1983,34.875,0.0,41000,35.0625,34.875,31.6840763092041
16-02-1983,35.0625,0.0,32867,35.25,35.0625,31.854402542114258
17-02-1983,34.3125,0.0,38067,34.6875,34.3125,31.17304039001465
18-02-1983,34.6875,0.0,28200,34.875,34.6875,31.513742446899414
22-02-1983,34.6875,0.0,25200,35.0625,34.6875,31.513742446899414
23-02-1983,34.5,0.0,31867,34.875,34.5,31.343387603759766
24-02-1983,34.6875,0.0,42267,34.875,34.6875,31.513742446899414
25-02-1983,34.875,0.0,62533,35.0625,34.875,31.6840763092041
28-02-1983,34.5,0.0,26133,34.6875,34.5,31.343387603759766
01-03-1983,33.0,0.0,40133,33.1875,33.0,29.980621337890625
02-03-1983,32.625,0.0,42333,33.0,32.625,29.639936447143555
03-03-1983,32.25,0.0,20000,32.4375,32.25,29.29924774169922
04-03-1983,32.0625,0.0,28667,32.4375,32.0625,29.12890625
07-03-1983,32.625,0.0,23133,33.0,32.625,29.639936447143555
08-03-1983,34.125,0.0,54333,34.6875,34.125,31.00269317626953
09-03-1983,35.0625,0.0,28200,35.25,35.0625,31.854402542114258
10-03-1983,34.5,0.0,28067,35.25,34.5,31.343387603759766
11-03-1983,34.5,0.0,8800,34.875,34.5,31.343387603759766
14-03-1983,33.9375,0.0,34600,34.125,33.9375,30.832347869873047
15-03-1983,33.5625,0.0,13000,33.75,33.5625,30.491655349731445
16-03-1983,33.375,0.0,11333,33.75,33.375,30.321311950683594
17-03-1983,32.25,0.0,11133,32.4375,32.25,29.29924774169922
18-03-1983,31.875,0.0,26333,32.4375,31.875,28.95855712890625
21-03-1983,31.875,0.0,17733,32.25,31.875,28.95855712890625
22-03-1983,31.5,0.0,39667,31.875,31.5,28.617868423461914
23-03-1983,31.875,0.0,12333,32.25,31.875,28.95855712890625
24-03-1983,32.625,0.0,20000,33.0,32.625,29.639936447143555
25-03-1983,34.125,0.0,21800,34.6875,34.125,31.00269317626953
28-03-1983,34.125,0.0,9467,34.5,34.125,31.00269317626953
