Date,Low,Open,Volume,High,Close,Adjusted Close
30-07-1982,3.4375,3.4375,50400.0,3.5,3.4375,1.4489139318466187
02-08-1982,3.375,3.375,122000.0,3.5,3.375,1.4225696325302124
03-08-1982,3.5,3.5,121600.0,3.5625,3.5,1.4752581119537354
04-08-1982,3.5,3.5,95600.0,3.5625,3.5,1.4752581119537354
05-08-1982,3.4375,3.4375,44000.0,3.5625,3.4375,1.4489139318466187
06-08-1982,3.4375,3.4375,17200.0,3.5,3.4375,1.4489139318466187
09-08-1982,3.4375,3.4375,20800.0,3.5,3.4375,1.4489139318466187
10-08-1982,3.4375,3.4375,6400.0,3.5,3.4375,1.4489139318466187
11-08-1982,3.4375,3.4375,18400.0,3.625,3.4375,1.4489139318466187
12-08-1982,3.5,3.5,6800.0,3.625,3.5,1.4752581119537354
13-08-1982,3.5,3.5,4000.0,3.6875,3.5,1.4752581119537354
16-08-1982,3.5,3.5,19200.0,3.625,3.5,1.4752581119537354
17-08-1982,3.5625,3.5625,11600.0,3.6875,3.5625,1.5016016960144043
18-08-1982,3.6875,3.6875,61600.0,3.8125,3.6875,1.5542901754379272
19-08-1982,3.6875,3.6875,12800.0,3.8125,3.6875,1.5542901754379272
20-08-1982,3.6875,3.6875,83200.0,3.8125,3.6875,1.5542901754379272
23-08-1982,3.75,3.75,11600.0,3.875,3.75,1.5806338787078857
24-08-1982,3.75,3.75,57600.0,3.9375,3.75,1.5806338787078857
25-08-1982,4.0,4.0,91200.0,4.1875,4.0,1.6860088109970093
26-08-1982,4.125,4.125,70000.0,4.25,4.125,1.7386975288391113
27-08-1982,4.0,4.0,28400.0,4.125,4.0,1.6860088109970093
30-08-1982,4.0625,4.0625,15200.0,4.1875,4.0625,1.712353229522705
31-08-1982,4.125,4.125,16000.0,4.25,4.125,1.7386975288391113
01-09-1982,4.25,4.25,32000.0,4.3125,4.25,1.7913841009140015
02-09-1982,4.25,4.25,19600.0,4.3125,4.25,1.7913841009140015
03-09-1982,4.4375,4.4375,20800.0,4.5625,4.4375,1.8704153299331665
07-09-1982,4.4375,4.4375,12400.0,4.625,4.4375,1.8704153299331665
08-09-1982,4.4375,4.4375,800.0,4.625,4.4375,1.8704153299331665
09-09-1982,4.4375,4.4375,12800.0,4.625,4.4375,1.8704153299331665
10-09-1982,4.5,4.5,5200.0,4.625,4.5,1.8967604637145996
13-09-1982,4.5,4.5,9600.0,4.6875,4.5,1.8967604637145996
14-09-1982,4.5,4.5,70000.0,4.6875,4.5,1.8967604637145996
15-09-1982,4.5,4.5,2000.0,4.6875,4.5,1.8967604637145996
16-09-1982,4.5625,4.5625,6800.0,4.6875,4.5625,1.923104166984558
17-09-1982,4.5625,4.5625,4400.0,4.6875,4.5625,1.923104166984558
20-09-1982,4.5625,4.5625,2400.0,4.6875,4.5625,1.923104166984558
21-09-1982,4.5625,4.5625,23200.0,4.6875,4.5625,1.923104166984558
22-09-1982,4.625,4.625,12800.0,4.8125,4.625,1.9494476318359375
23-09-1982,4.625,4.625,31600.0,4.8125,4.625,1.9494476318359375
24-09-1982,4.625,4.625,8400.0,4.8125,4.625,1.9494476318359375
27-09-1982,4.625,4.625,10800.0,4.8125,4.625,1.9494476318359375
28-09-1982,4.6875,4.6875,13600.0,4.8125,4.6875,1.9757925271987915
29-09-1982,4.6875,4.6875,1600.0,4.8125,4.6875,1.9757925271987915
30-09-1982,4.6875,4.6875,800.0,4.875,4.6875,1.9757925271987915
01-10-1982,4.75,4.75,4400.0,4.875,4.75,2.002135753631592
04-10-1982,4.8125,4.8125,9200.0,4.9375,4.8125,2.0284786224365234
05-10-1982,4.875,4.875,7600.0,5.0,4.875,2.054823875427246
