Date,Low,Open,Volume,High,Close,Adjusted Close
17-12-1996,3.5,3.75,1272400,3.75,3.5,2.658712387084961
18-12-1996,3.3125,3.5,1186800,3.59375,3.5625,2.7061896324157715
19-12-1996,3.59375,3.59375,528800,3.71875,3.65625,2.77740478515625
20-12-1996,3.625,3.625,233200,3.71875,3.71875,2.824882745742798
23-12-1996,3.71875,3.75,57200,3.84375,3.8125,2.896096706390381
24-12-1996,3.84375,3.84375,14000,3.90625,3.90625,2.9673120975494385
26-12-1996,3.8125,3.90625,22000,3.9375,3.8125,2.896096706390381
27-12-1996,3.8125,3.8125,800,3.8125,3.8125,2.896096706390381
30-12-1996,3.78125,3.84375,28400,3.84375,3.78125,2.872359037399292
31-12-1996,3.75,3.75,15600,3.78125,3.78125,2.872359037399292
02-01-1997,3.65625,3.75,710000,3.75,3.65625,2.77740478515625
03-01-1997,3.65625,3.65625,1579600,3.78125,3.75,2.8486196994781494
06-01-1997,3.75,3.78125,2490800,3.8125,3.78125,2.872359037399292
07-01-1997,3.78125,3.8125,641200,4.0,4.0,3.038527727127075
08-01-1997,4.03125,4.0625,336000,4.1875,4.03125,3.062267541885376
09-01-1997,4.03125,4.03125,459200,4.09375,4.0625,3.0860040187835693
10-01-1997,4.0625,4.09375,812800,4.125,4.09375,3.109744071960449
13-01-1997,4.0,4.09375,3370000,4.09375,4.0625,3.0860040187835693
14-01-1997,4.1875,4.21875,2018000,4.4375,4.4375,3.370865821838379
15-01-1997,4.09375,4.3125,2648400,4.34375,4.09375,3.109744071960449
16-01-1997,3.96875,4.0,2926000,4.0625,4.0,3.038527727127075
17-01-1997,3.96875,4.0,1323600,4.0625,4.03125,3.062267541885376
20-01-1997,3.96875,4.0,2368400,4.03125,3.96875,3.0147898197174072
21-01-1997,4.0,4.0,2347200,4.03125,4.0,3.038527727127075
22-01-1997,4.0,4.03125,2797600,4.03125,4.0,3.038527727127075
23-01-1997,4.0625,4.0625,1058800,4.15625,4.09375,3.109744071960449
24-01-1997,4.03125,4.09375,1254800,4.28125,4.03125,3.062267541885376
27-01-1997,4.03125,4.03125,1658000,4.09375,4.03125,3.062267541885376
28-01-1997,4.0,4.03125,1005600,4.1875,4.0,3.038527727127075
29-01-1997,3.96875,4.0,1512000,4.09375,4.0,3.038527727127075
30-01-1997,3.96875,4.0,2211200,4.0625,4.0,3.038527727127075
31-01-1997,3.90625,3.9375,1540400,4.0,3.9375,2.991051197052002
03-02-1997,3.90625,3.9375,1889600,4.0625,4.0625,3.0860040187835693
04-02-1997,4.03125,4.0625,1865600,4.125,4.125,3.1334822177886963
05-02-1997,4.09375,4.125,458400,4.15625,4.15625,3.1572201251983643
06-02-1997,4.125,4.125,643600,4.15625,4.125,3.1334822177886963
07-02-1997,4.09375,4.125,2542800,4.21875,4.1875,3.180959701538086
10-02-1997,4.09375,4.125,944000,4.15625,4.125,3.1334822177886963
11-02-1997,4.0625,4.0625,772000,4.15625,4.125,3.1334822177886963
12-02-1997,4.0625,4.09375,400400,4.125,4.09375,3.109744071960449
13-02-1997,4.09375,4.09375,1190800,4.28125,4.21875,3.2046966552734375
14-02-1997,4.09375,4.21875,1210800,4.21875,4.125,3.1334822177886963
18-02-1997,4.0625,4.0625,2076800,4.15625,4.125,3.1334822177886963
19-02-1997,4.09375,4.09375,830800,4.1875,4.15625,3.1572201251983643
20-02-1997,4.125,4.125,1074000,4.375,4.21875,3.2046966552734375
21-02-1997,4.1875,4.21875,638800,4.28125,4.25,3.22843599319458
24-02-1997,4.25,4.25,1108000,4.40625,4.40625,3.347130060195923
25-02-1997,4.375,4.40625,462000,4.46875,4.4375,3.370865821838379
26-02-1997,4.3125,4.375,525600,4.40625,4.34375,3.299652338027954
27-02-1997,4.25,4.3125,854800,4.4375,4.28125,3.252173662185669
28-02-1997,4.0625,4.15625,514400,4.28125,4.21875,3.2046966552734375
03-03-1997,4.15625,4.15625,385600,4.3125,4.21875,3.2046966552734375
04-03-1997,4.1875,4.25,803600,4.25,4.21875,3.2046966552734375
05-03-1997,4.09375,4.1875,1542000,4.21875,4.15625,3.1572201251983643
06-03-1997,4.09375,4.15625,408800,4.15625,4.125,3.1334822177886963
07-03-1997,3.96875,4.09375,968400,4.125,4.0625,3.0860040187835693
10-03-1997,4.0625,4.0625,331200,4.125,4.09375,3.109744071960449
11-03-1997,4.09375,4.09375,1434000,4.15625,4.09375,3.109744071960449
12-03-1997,4.09375,4.09375,558000,4.125,4.125,3.1334822177886963
13-03-1997,4.0625,4.0625,362800,4.09375,4.0625,3.0860040187835693
14-03-1997,4.0625,4.0625,964800,4.125,4.09375,3.109744071960449
17-03-1997,4.0,4.09375,387600,4.09375,4.0,3.038527727127075
18-03-1997,4.0,4.0625,303600,4.0625,4.03125,3.062267541885376
19-03-1997,4.03125,4.03125,2478000,4.09375,4.09375,3.109744071960449
20-03-1997,4.03125,4.09375,196000,4.09375,4.0625,3.0860040187835693
21-03-1997,3.96875,4.03125,806000,4.09375,4.0,3.038527727127075
24-03-1997,3.90625,3.96875,227600,4.0,3.90625,2.9673120975494385
25-03-1997,3.78125,3.84375,256400,3.9375,3.8125,2.896096706390381
26-03-1997,3.65625,3.75,317600,3.78125,3.78125,2.872359037399292
27-03-1997,3.75,3.75,231200,3.84375,3.8125,2.896096706390381
31-03-1997,3.71875,3.78125,335200,3.84375,3.71875,2.824882745742798
01-04-1997,3.6875,3.71875,514400,3.75,3.6875,2.8011422157287598
02-04-1997,3.65625,3.6875,270000,3.71875,3.65625,2.77740478515625
03-04-1997,3.65625,3.6875,285600,3.71875,3.6875,2.8011422157287598
04-04-1997,3.6875,3.6875,2198000,3.71875,3.6875,2.8011422157287598
07-04-1997,3.625,3.6875,146800,3.6875,3.65625,2.77740478515625
08-04-1997,3.5625,3.625,271200,3.71875,3.71875,2.824882745742798
09-04-1997,3.65625,3.6875,386400,3.78125,3.78125,2.872359037399292
10-04-1997,3.75,3.75,167200,3.9375,3.84375,2.9198355674743652
11-04-1997,3.65625,3.75,537600,3.78125,3.65625,2.77740478515625
14-04-1997,3.59375,3.65625,390000,3.6875,3.59375,2.729926586151123
15-04-1997,3.59375,3.59375,276800,3.65625,3.65625,2.77740478515625
16-04-1997,3.625,3.625,248400,3.75,3.75,2.8486196994781494
17-04-1997,3.90625,3.90625,2013600,4.03125,3.96875,3.0147898197174072
18-04-1997,3.96875,3.96875,385200,4.0,4.0,3.038527727127075
21-04-1997,3.96875,4.0,569200,4.0625,4.0,3.038527727127075
22-04-1997,4.0,4.0,246400,4.0,4.0,3.038527727127075
23-04-1997,4.0,4.0,145200,4.03125,4.0,3.038527727127075
24-04-1997,4.0,4.0,533600,4.03125,4.0,3.038527727127075
25-04-1997,4.0,4.0,140400,4.03125,4.0,3.038527727127075
28-04-1997,4.0,4.0,106800,4.03125,4.0,3.038527727127075
29-04-1997,4.03125,4.03125,478400,4.1875,4.1875,3.180959701538086
30-04-1997,4.1875,4.21875,1580000,4.5,4.40625,3.347130060195923
01-05-1997,4.34375,4.34375,648800,4.40625,4.375,3.3233892917633057
02-05-1997,4.34375,4.34375,362400,4.625,4.59375,3.489560842514038
05-05-1997,4.5,4.5625,490400,4.59375,4.53125,3.442082643508911
06-05-1997,4.4375,4.46875,332000,4.59375,4.5625,3.4658215045928955
07-05-1997,4.53125,4.5625,290400,4.59375,4.53125,3.442082643508911
08-05-1997,4.4375,4.5,226000,4.53125,4.46875,3.3946049213409424
09-05-1997,4.46875,4.46875,116400,4.5625,4.46875,3.3946049213409424
12-05-1997,4.59375,4.625,253600,4.78125,4.75,3.6082515716552734
13-05-1997,4.65625,4.6875,128800,4.75,4.71875,3.584515333175659
14-05-1997,4.5,4.65625,277600,4.65625,4.53125,3.442082643508911
15-05-1997,4.5,4.5,274800,4.59375,4.53125,3.442082643508911
16-05-1997,4.4375,4.53125,292400,4.53125,4.46875,3.3946049213409424
19-05-1997,4.40625,4.4375,132000,4.5,4.46875,3.3946049213409424
20-05-1997,4.40625,4.46875,115600,4.46875,4.40625,3.347130060195923
21-05-1997,4.40625,4.40625,106800,4.5,4.46875,3.3946049213409424
22-05-1997,4.40625,4.40625,452800,4.875,4.875,3.7032055854797363
23-05-1997,4.6875,4.8125,63200,4.8125,4.6875,3.5607755184173584
27-05-1997,4.625,4.625,138800,4.6875,4.6875,3.5607755184173584
28-05-1997,4.65625,4.6875,121200,4.75,4.71875,3.584515333175659
29-05-1997,4.6875,4.71875,132400,4.78125,4.75,3.6082515716552734
30-05-1997,4.59375,4.625,279200,4.65625,4.625,3.513298273086548
02-06-1997,4.59375,4.59375,411600,4.71875,4.65625,3.5370371341705322
03-06-1997,4.65625,4.65625,122400,4.6875,4.6875,3.5607755184173584
04-06-1997,4.65625,4.65625,71600,4.71875,4.71875,3.584515333175659
05-06-1997,4.6875,4.6875,309600,4.78125,4.75,3.6082515716552734
06-06-1997,4.75,4.75,172000,4.9375,4.9375,3.7506823539733887
09-06-1997,4.875,4.90625,220000,5.0625,5.0,3.7981605529785156
10-06-1997,5.0,5.0,97200,5.0625,5.0,3.7981605529785156
11-06-1997,4.84375,5.0,638000,5.0,4.84375,3.6794679164886475
12-06-1997,4.84375,4.84375,259600,5.0,5.0,3.7981605529785156
13-06-1997,4.96875,4.96875,91600,5.03125,4.96875,3.7744202613830566
16-06-1997,4.90625,4.90625,184800,5.0625,5.0625,3.845637559890747
17-06-1997,4.875,4.96875,427200,4.96875,4.96875,3.7744202613830566
18-06-1997,4.9375,4.9375,391600,5.0,5.0,3.7981605529785156
19-06-1997,4.9375,4.96875,142400,5.0,4.96875,3.7744202613830566
20-06-1997,4.96875,4.96875,437200,5.0,4.96875,3.7744202613830566
23-06-1997,4.9375,4.9375,172400,5.0,4.96875,3.7744202613830566
24-06-1997,4.796875,4.90625,323600,4.90625,4.84375,3.6794679164886475
25-06-1997,4.75,4.8125,246000,4.859375,4.75,3.6082515716552734
26-06-1997,4.6875,4.71875,452400,4.75,4.75,3.6082515716552734
27-06-1997,4.71875,4.71875,236000,4.75,4.75,3.6082515716552734
30-06-1997,4.71875,4.734375,705600,5.21875,5.140625,3.904982566833496
01-07-1997,4.875,5.0,201200,5.0,4.90625,3.7269437313079834
02-07-1997,4.875,4.90625,384400,4.9375,4.875,3.7032055854797363
03-07-1997,4.84375,4.84375,210400,4.9375,4.859375,3.6913363933563232
07-07-1997,4.84375,4.859375,710800,4.875,4.859375,3.6913363933563232
08-07-1997,4.828125,4.859375,148000,5.03125,5.015625,3.8100297451019287
09-07-1997,4.84375,4.984375,171600,5.0,4.90625,3.7269437313079834
10-07-1997,4.734375,4.84375,964000,4.859375,4.75,3.6082515716552734
11-07-1997,4.71875,4.75,105600,4.75,4.75,3.6082515716552734
14-07-1997,4.6875,4.75,654000,4.78125,4.765625,3.6201205253601074
15-07-1997,4.765625,4.765625,167200,4.8125,4.8125,3.6557302474975586
16-07-1997,4.828125,4.828125,280000,5.078125,5.03125,3.821899175643921
17-07-1997,4.71875,4.90625,255200,4.90625,4.71875,3.584515333175659
18-07-1997,4.578125,4.703125,116400,4.703125,4.578125,3.4776904582977295
21-07-1997,4.5,4.59375,226800,4.59375,4.53125,3.442082643508911
22-07-1997,4.46875,4.5,314000,4.515625,4.484375,3.406477212905884
23-07-1997,4.46875,4.46875,258800,4.5,4.5,3.4183425903320312
24-07-1997,4.375,4.5,148400,4.5,4.375,3.3233892917633057
