Date,Low,Open,Volume,High,Close,Adjusted Close
17-11-1995,8.09375,8.125,35659200,8.71875,8.625,6.591005325317383
20-11-1995,8.1875,8.59375,8434000,8.8125,8.3125,6.352198600769043
21-11-1995,7.9375,8.25,6440000,8.28125,8.15625,6.232797622680664
22-11-1995,8.125,8.125,3480800,8.53125,8.40625,6.423841953277588
24-11-1995,8.4375,8.46875,1279200,8.71875,8.71875,6.662644863128662
27-11-1995,8.625,8.71875,2403200,8.90625,8.75,6.686525344848633
28-11-1995,8.5,8.75,1054800,8.78125,8.625,6.591005325317383
29-11-1995,8.5625,8.59375,1331200,8.96875,8.75,6.686525344848633
30-11-1995,8.8125,8.84375,2426000,9.1875,9.09375,6.949212074279785
01-12-1995,8.9375,9.09375,978400,9.125,9.0,6.8775715827941895
04-12-1995,8.84375,9.03125,594000,9.09375,8.90625,6.80592679977417
05-12-1995,8.625,8.90625,1148800,8.90625,8.78125,6.710406303405762
06-12-1995,8.75,8.75,1216000,9.0,8.8125,6.734287738800049
07-12-1995,8.6875,8.875,641200,8.90625,8.75,6.686525344848633
08-12-1995,8.625,8.71875,668800,8.96875,8.96875,6.853688716888428
11-12-1995,8.96875,9.0,660000,9.09375,9.09375,6.949212074279785
12-12-1995,8.71875,9.03125,971600,9.0625,8.75,6.686525344848633
13-12-1995,8.53125,8.8125,528400,8.8125,8.6875,6.638769149780273
14-12-1995,8.4375,8.71875,639200,8.71875,8.4375,6.447720050811768
15-12-1995,8.34375,8.5,1366400,8.5625,8.375,6.399960517883301
18-12-1995,8.25,8.375,741600,8.40625,8.28125,6.328319072723389
19-12-1995,8.21875,8.25,643600,8.53125,8.4375,6.447720050811768
20-12-1995,8.46875,8.46875,360400,8.6875,8.625,6.591005325317383
21-12-1995,8.5625,8.59375,301600,8.78125,8.6875,6.638769149780273
22-12-1995,8.625,8.71875,208400,8.75,8.75,6.686525344848633
26-12-1995,8.5,8.71875,240000,8.71875,8.53125,6.51936149597168
27-12-1995,8.625,8.625,351600,8.84375,8.84375,6.758164882659912
28-12-1995,8.78125,8.875,344400,8.90625,8.8125,6.734287738800049
29-12-1995,8.65625,8.78125,219200,8.84375,8.71875,6.662644863128662
02-01-1996,8.65625,8.71875,169200,8.78125,8.75,6.686525344848633
03-01-1996,8.65625,8.78125,682000,8.9375,8.71875,6.662644863128662
04-01-1996,8.53125,8.75,414800,8.8125,8.65625,6.614885330200195
05-01-1996,8.28125,8.53125,773600,8.59375,8.4375,6.447720050811768
08-01-1996,8.375,8.4375,48800,8.46875,8.46875,6.4716010093688965
09-01-1996,8.375,8.5,864000,8.5,8.375,6.399960517883301
10-01-1996,8.125,8.28125,458400,8.375,8.28125,6.328319072723389
11-01-1996,8.3125,8.3125,477600,8.5625,8.46875,6.4716010093688965
12-01-1996,8.40625,8.4375,338400,8.6875,8.6875,6.638769149780273
15-01-1996,8.625,8.6875,580800,8.75,8.65625,6.614885330200195
16-01-1996,8.21875,8.59375,512800,8.59375,8.4375,6.447720050811768
17-01-1996,8.125,8.3125,126400,8.375,8.375,6.399960517883301
18-01-1996,8.03125,8.28125,696000,8.34375,8.15625,6.232797622680664
19-01-1996,8.0625,8.15625,792800,8.1875,8.09375,6.185036659240723
22-01-1996,8.09375,8.09375,568800,8.46875,8.3125,6.352198600769043
23-01-1996,8.15625,8.25,798400,8.28125,8.15625,6.232797622680664
24-01-1996,8.125,8.125,776400,8.28125,8.28125,6.328319072723389
25-01-1996,8.25,8.25,1303200,8.5625,8.5625,6.54324197769165
26-01-1996,8.5,8.5625,634800,8.59375,8.5625,6.54324197769165
29-01-1996,8.375,8.59375,652000,8.59375,8.4375,6.447720050811768
30-01-1996,8.375,8.4375,2810800,9.40625,9.25,7.068613052368164
31-01-1996,9.125,9.1875,1136400,9.53125,9.21875,7.044734001159668
01-02-1996,8.84375,9.1875,516800,9.21875,9.03125,6.901450157165527
02-02-1996,9.09375,9.09375,702400,9.3125,9.25,7.068613052368164
05-02-1996,9.25,9.3125,756400,9.46875,9.40625,7.188014984130859
06-02-1996,9.375,9.40625,455200,9.5625,9.46875,7.235775947570801
07-02-1996,9.5,9.53125,650800,9.84375,9.78125,7.4745774269104
08-02-1996,9.53125,9.75,571600,9.8125,9.5625,7.307420253753662
09-02-1996,9.46875,9.625,520800,9.625,9.59375,7.331297397613525
12-02-1996,9.25,9.53125,619200,9.5625,9.34375,7.140249729156494
13-02-1996,9.125,9.25,204400,9.28125,9.1875,7.020853519439697
14-02-1996,9.15625,9.21875,410000,9.4375,9.15625,6.996973514556885
15-02-1996,9.28125,9.28125,348800,9.4375,9.34375,7.140249729156494
16-02-1996,9.15625,9.34375,322400,9.34375,9.1875,7.020853519439697
20-02-1996,8.9375,9.0625,633200,9.1875,9.0625,6.925333023071289
21-02-1996,9.09375,9.09375,497600,9.21875,9.125,6.973092555999756
22-02-1996,8.78125,9.125,1184000,9.125,9.09375,6.949212074279785
23-02-1996,9.09375,9.125,532400,9.34375,9.3125,7.116373062133789
26-02-1996,9.1875,9.3125,359600,9.34375,9.25,7.068613052368164
27-02-1996,9.125,9.3125,1742400,9.375,9.15625,6.996973514556885
28-02-1996,9.1875,9.1875,921600,9.25,9.21875,7.044734001159668
29-02-1996,9.125,9.21875,812400,9.375,9.15625,6.996973514556885
01-03-1996,9.21875,9.28125,605600,9.53125,9.46875,7.235775947570801
04-03-1996,9.3125,9.5,650800,9.5,9.375,7.164132118225098
05-03-1996,9.28125,9.3125,511200,9.46875,9.40625,7.188014984130859
06-03-1996,9.3125,9.4375,445600,9.46875,9.3125,7.116373062133789
07-03-1996,9.203125,9.28125,547600,9.34375,9.21875,7.044734001159668
08-03-1996,8.84375,9.0625,625200,9.21875,9.0,6.8775715827941895
11-03-1996,8.84375,9.0,217200,9.0,8.875,6.782045841217041
12-03-1996,8.40625,8.90625,598000,8.90625,8.65625,6.614885330200195
13-03-1996,8.59375,8.6875,335600,8.9375,8.90625,6.822675704956055
14-03-1996,8.84375,8.90625,273600,8.96875,8.90625,6.822675704956055
15-03-1996,8.625,8.96875,371600,8.96875,8.71875,6.679041385650635
18-03-1996,8.75,8.75,257600,8.96875,8.96875,6.8705549240112305
19-03-1996,8.75,8.96875,276800,8.96875,8.90625,6.822675704956055
20-03-1996,8.65625,8.875,236400,8.90625,8.71875,6.679041385650635
21-03-1996,8.59375,8.71875,520000,8.71875,8.65625,6.631164073944092
22-03-1996,8.59375,8.65625,198000,8.65625,8.65625,6.631164073944092
25-03-1996,8.71875,8.8125,284000,8.8125,8.78125,6.7269206047058105
26-03-1996,8.78125,8.8125,327200,9.21875,9.0,6.894497394561768
27-03-1996,9.03125,9.0625,275600,9.1875,9.09375,6.966313362121582
28-03-1996,9.0625,9.15625,236800,9.21875,9.09375,6.966313362121582
29-03-1996,8.90625,9.09375,280800,9.125,8.9375,6.846616268157959
01-04-1996,8.84375,8.96875,214800,9.09375,9.09375,6.966313362121582
02-04-1996,8.875,9.03125,640400,9.09375,8.90625,6.822675704956055
03-04-1996,8.6875,8.84375,164400,8.84375,8.78125,6.7269206047058105
04-04-1996,8.6875,8.84375,82400,8.84375,8.78125,6.7269206047058105
08-04-1996,8.59375,8.65625,186000,8.6875,8.6875,6.6551055908203125
09-04-1996,8.65625,8.71875,285200,8.71875,8.6875,6.6551055908203125
10-04-1996,8.5625,8.6875,228000,8.6875,8.65625,6.631164073944092
11-04-1996,8.625,8.6875,222400,8.71875,8.65625,6.631164073944092
12-04-1996,8.625,8.625,238400,8.75,8.75,6.702980041503906
15-04-1996,8.75,8.78125,185600,8.9375,8.84375,6.77479887008667
16-04-1996,8.75,8.78125,159600,8.875,8.875,6.798736572265625
17-04-1996,8.5,8.84375,766000,8.84375,8.625,6.607224464416504
18-04-1996,8.25,8.625,1770000,8.625,8.4375,6.463587760925293
19-04-1996,8.4375,8.4375,429200,8.59375,8.59375,6.583285808563232
22-04-1996,8.5,8.5625,118800,8.65625,8.65625,6.631164073944092
23-04-1996,8.46875,8.625,206000,8.6875,8.5,6.511465549468994
24-04-1996,8.25,8.4375,1152400,8.4375,8.3125,6.367830753326416
25-04-1996,8.0,8.3125,1270800,8.34375,8.34375,6.391772270202637
26-04-1996,8.28125,8.34375,3303600,9.5,9.40625,7.205705642700195
29-04-1996,9.28125,9.3125,2256400,9.875,9.5,7.277518272399902
30-04-1996,9.15625,9.4375,771200,9.46875,9.15625,7.0141921043396
01-05-1996,9.03125,9.1875,303600,9.1875,9.125,6.9902520179748535
02-05-1996,9.0625,9.0625,489600,9.28125,9.15625,7.0141921043396
03-05-1996,9.0,9.1875,1512800,9.1875,9.125,6.9902520179748535
06-05-1996,9.125,9.125,308400,9.28125,9.15625,7.0141921043396
07-05-1996,9.09375,9.125,508800,9.15625,9.09375,6.966313362121582
08-05-1996,8.96875,9.0625,362400,9.25,9.21875,7.062070846557617
09-05-1996,9.25,9.375,279200,9.4375,9.3125,7.133886814117432
10-05-1996,9.25,9.375,74000,9.40625,9.28125,7.109949588775635
13-05-1996,9.1875,9.21875,198800,9.25,9.21875,7.062070846557617
14-05-1996,9.03125,9.1875,256400,9.1875,9.125,6.9902520179748535
15-05-1996,8.96875,9.15625,752800,9.15625,9.0,6.894497394561768
16-05-1996,9.1875,9.1875,1938000,9.65625,9.46875,7.2535810470581055
17-05-1996,9.46875,9.59375,601600,9.625,9.46875,7.2535810470581055
20-05-1996,9.28125,9.4375,448000,9.53125,9.40625,7.205705642700195
21-05-1996,9.125,9.46875,209200,9.46875,9.15625,7.0141921043396
22-05-1996,8.875,9.125,368800,9.125,9.09375,6.966313362121582
23-05-1996,9.0625,9.09375,615200,9.125,9.0625,6.942375659942627
24-05-1996,9.03125,9.03125,340400,9.125,9.125,6.9902520179748535
28-05-1996,9.09375,9.09375,999200,9.5,9.4375,7.229645252227783
29-05-1996,9.375,9.5,872400,9.625,9.40625,7.205705642700195
30-05-1996,9.375,9.40625,332000,9.6875,9.59375,7.349337577819824
31-05-1996,9.5,9.5625,531200,9.6875,9.5,7.277518272399902
03-06-1996,9.375,9.4375,535600,9.53125,9.4375,7.229645252227783
04-06-1996,9.3125,9.40625,875200,9.46875,9.4375,7.229645252227783
05-06-1996,9.5,9.5,684800,9.96875,9.875,7.564792633056641
06-06-1996,9.875,9.875,804400,10.125,10.0,7.660548210144043
07-06-1996,9.75,9.875,345600,10.0,10.0,7.660548210144043
10-06-1996,9.875,10.0,269200,10.0625,9.9375,7.612672328948975
11-06-1996,9.9375,9.96875,580400,10.25,10.09375,7.732367038726807
12-06-1996,10.0625,10.0625,489200,10.375,10.1875,7.820643901824951
13-06-1996,10.03125,10.1875,193600,10.3125,10.15625,7.796658515930176
14-06-1996,9.96875,10.125,148400,10.125,10.0,7.6767096519470215
17-06-1996,9.34375,9.90625,3204400,9.90625,9.46875,7.268885612487793
18-06-1996,9.40625,9.5625,926000,9.6875,9.46875,7.268885612487793
19-06-1996,9.34375,9.46875,302000,9.46875,9.4375,7.244896411895752
20-06-1996,9.34375,9.46875,259600,9.5,9.46875,7.268885612487793
21-06-1996,9.46875,9.46875,166400,9.75,9.75,7.4847941398620605
24-06-1996,9.6875,9.8125,332000,9.84375,9.75,7.4847941398620605
25-06-1996,9.75,9.75,723600,10.03125,9.96875,7.652721881866455
26-06-1996,10.03125,10.09375,425200,10.3125,10.25,7.868626117706299
27-06-1996,10.1875,10.25,568000,10.5625,10.53125,8.084537506103516
28-06-1996,10.5625,10.75,1070400,11.0,10.5625,8.108524322509766
01-07-1996,10.6875,10.75,520800,10.84375,10.6875,8.204485893249512
02-07-1996,10.5,10.65625,356800,10.71875,10.625,8.156502723693848
03-07-1996,10.25,10.53125,1087600,10.53125,10.4375,8.012567520141602
05-07-1996,10.25,10.3125,157200,10.5,10.46875,8.0365571975708
08-07-1996,10.3125,10.40625,358800,10.4375,10.34375,7.9405975341796875
09-07-1996,10.3125,10.3125,110800,10.46875,10.4375,8.012567520141602
10-07-1996,10.3125,10.46875,621600,10.5,10.34375,7.9405975341796875
11-07-1996,9.5625,10.25,619600,10.25,9.90625,7.604740142822266
12-07-1996,9.75,10.0,129200,10.0,9.75,7.4847941398620605
15-07-1996,9.15625,9.6875,337600,9.6875,9.1875,7.052980422973633
16-07-1996,8.6875,9.0625,652000,9.4375,9.4375,7.244896411895752
17-07-1996,9.28125,9.5,601600,9.71875,9.34375,7.172924041748047
18-07-1996,9.375,9.375,711600,9.78125,9.78125,7.508780002593994
19-07-1996,9.6875,9.78125,478400,9.78125,9.6875,7.436812400817871
22-07-1996,9.5625,9.71875,107200,9.78125,9.78125,7.508780002593994
23-07-1996,9.71875,9.75,183600,10.0,9.75,7.4847941398620605
24-07-1996,9.34375,9.625,250000,9.625,9.40625,7.220908164978027
25-07-1996,9.40625,9.40625,292800,9.5625,9.53125,7.316867828369141
26-07-1996,9.5625,9.5625,138000,9.65625,9.5625,7.340854167938232
29-07-1996,9.4375,9.59375,235600,9.59375,9.5,7.292874336242676
30-07-1996,9.5,9.5625,566000,9.65625,9.65625,7.412824630737305
31-07-1996,9.53125,9.625,317600,9.75,9.625,7.388833999633789
01-08-1996,9.59375,9.6875,237600,9.8125,9.8125,7.532774925231934
02-08-1996,9.5,9.75,844800,9.78125,9.59375,7.364843845367432
05-08-1996,9.53125,9.59375,139600,9.59375,9.5625,7.340854167938232
06-08-1996,9.5625,9.59375,132400,9.59375,9.59375,7.364843845367432
07-08-1996,9.5625,9.59375,95200,9.625,9.59375,7.364843845367432
08-08-1996,9.5625,9.59375,37600,9.59375,9.5625,7.340854167938232
09-08-1996,9.5,9.53125,70400,9.65625,9.5,7.292874336242676
12-08-1996,9.4375,9.53125,174400,9.625,9.625,7.388833999633789
