Date,Low,Open,Volume,High,Close,Adjusted Close
14-12-1993,21.4375,21.5,1077400,22.75,22.625,9.168622016906738
15-12-1993,21.75,22.5,897800,22.5,22.125,8.9660062789917
16-12-1993,22.0,22.1875,571200,22.1875,22.125,8.9660062789917
17-12-1993,21.625,22.125,1053000,22.125,21.625,8.763383865356445
20-12-1993,21.625,21.625,1284800,22.3125,22.3125,9.041985511779785
21-12-1993,22.25,22.25,882800,22.875,22.625,9.168622016906738
22-12-1993,22.4375,22.6875,200600,22.6875,22.625,9.168622016906738
23-12-1993,22.6875,22.6875,195800,23.125,23.0625,9.345919609069824
27-12-1993,23.1875,23.1875,68400,23.75,23.625,9.573870658874512
28-12-1993,23.375,23.5625,273600,23.5625,23.5,9.523212432861328
29-12-1993,23.625,23.625,264400,23.8125,23.8125,9.649850845336914
30-12-1993,23.8125,23.8125,156200,24.0625,23.9375,9.700509071350098
31-12-1993,23.625,23.8125,133000,23.875,23.75,9.624523162841797
03-01-1994,23.125,23.8125,467800,23.8125,23.4375,9.497882843017578
04-01-1994,22.3125,23.4375,2250200,23.4375,22.5625,9.143294334411621
05-01-1994,21.75,22.0,2933400,22.1875,22.1875,8.991333961486816
06-01-1994,21.5,22.0,2753200,22.1875,21.75,8.814037322998047
07-01-1994,20.75,21.6875,3428400,21.6875,20.875,8.459444046020508
10-01-1994,20.875,20.9375,1411000,21.5,21.4375,8.687397956848145
11-01-1994,21.1875,21.5,1185400,21.5,21.375,8.66207218170166
12-01-1994,20.875,21.3125,2209200,21.3125,21.0,8.510101318359375
13-01-1994,20.8125,20.9375,1033400,21.0,20.875,8.459444046020508
14-01-1994,20.8125,20.9375,1366000,21.0625,20.9375,8.484776496887207
17-01-1994,20.75,20.875,1157400,21.0,20.9375,8.484776496887207
18-01-1994,20.75,20.9375,1118400,20.9375,20.8125,8.434117317199707
19-01-1994,20.75,20.75,1327800,21.25,21.125,8.560759544372559
20-01-1994,20.8125,21.125,1121400,21.1875,21.0,8.510101318359375
21-01-1994,20.875,21.0625,1460800,21.0625,21.0,8.510101318359375
24-01-1994,20.75,21.0,2101400,21.0,20.8125,8.434117317199707
25-01-1994,20.625,20.75,1470400,20.9375,20.8125,8.434117317199707
26-01-1994,20.75,20.75,723600,20.875,20.8125,8.434117317199707
27-01-1994,20.75,20.8125,1610600,20.9375,20.8125,8.434117317199707
28-01-1994,20.875,20.9375,1285200,21.5625,21.5,8.71272087097168
31-01-1994,21.5,21.5,1316000,22.1875,21.875,8.864692687988281
01-02-1994,21.0,21.125,3041400,21.25,21.125,8.560759544372559
02-02-1994,20.8125,21.0625,3352000,21.0625,21.0,8.510101318359375
03-02-1994,21.0,21.0625,2135600,21.4375,21.375,8.66207218170166
04-02-1994,21.25,21.3125,1256600,21.625,21.3125,8.636741638183594
07-02-1994,21.3125,21.3125,799400,21.8125,21.75,8.814037322998047
08-02-1994,21.375,21.5,916600,21.625,21.4375,8.687397956848145
09-02-1994,21.3125,21.3125,769800,21.5625,21.5625,8.738055229187012
10-02-1994,21.375,21.5,977600,21.6875,21.375,8.66207218170166
11-02-1994,21.25,21.375,690800,21.4375,21.375,8.66207218170166
14-02-1994,21.375,21.4375,616800,21.5625,21.5,8.71272087097168
15-02-1994,21.4375,21.4375,701200,21.75,21.5625,8.738055229187012
16-02-1994,21.5,21.5625,668800,21.8125,21.6875,8.788707733154297
17-02-1994,21.6875,21.8125,995000,22.0,21.6875,8.788707733154297
18-02-1994,21.5,21.6875,434000,21.75,21.5625,8.738055229187012
22-02-1994,21.0625,21.25,1151800,21.4375,21.25,8.611414909362793
23-02-1994,21.25,21.25,1016000,21.4375,21.4375,8.687397956848145
24-02-1994,21.125,21.375,537800,21.375,21.1875,8.586084365844727
25-02-1994,20.9375,21.0625,651200,21.125,20.9375,8.484776496887207
28-02-1994,20.8125,21.0625,520400,21.0625,20.875,8.459444046020508
01-03-1994,20.75,20.8125,751800,20.875,20.875,8.459444046020508
02-03-1994,20.5625,20.75,1084800,20.8125,20.5625,8.332807540893555
03-03-1994,20.25,20.5625,731600,20.5625,20.25,8.206171989440918
04-03-1994,20.0,20.25,1008400,20.3125,20.125,8.155515670776367
07-03-1994,20.0625,20.125,600000,20.125,20.0625,8.130186080932617
08-03-1994,20.0,20.0625,1083600,20.125,20.0625,8.130186080932617
09-03-1994,19.8125,19.8125,268400,20.0625,20.0625,8.212052345275879
10-03-1994,19.8125,20.0,1073200,20.125,19.875,8.135302543640137
11-03-1994,19.875,19.875,297400,20.375,20.3125,8.314385414123535
14-03-1994,20.25,20.4375,343400,20.4375,20.375,8.339964866638184
15-03-1994,20.3125,20.375,630600,20.5625,20.5,8.391132354736328
16-03-1994,20.1875,20.5,474000,20.5625,20.25,8.288799285888672
17-03-1994,20.1875,20.1875,672600,20.5,20.375,8.339964866638184
18-03-1994,20.0,20.375,991400,20.375,20.0625,8.212052345275879
21-03-1994,20.0,20.0625,422000,20.1875,20.0625,8.212052345275879
22-03-1994,19.875,20.0625,550200,20.125,20.125,8.237635612487793
23-03-1994,20.125,20.1875,512000,20.4375,20.4375,8.365549087524414
24-03-1994,20.3125,20.3125,419600,20.625,20.5,8.391132354736328
25-03-1994,20.5,20.625,231600,20.625,20.5,8.391132354736328
28-03-1994,20.3125,20.5625,484600,20.6875,20.6875,8.467880249023438
29-03-1994,20.625,20.625,313200,20.8125,20.6875,8.467880249023438
30-03-1994,20.3125,20.5625,595000,20.6875,20.375,8.339964866638184
31-03-1994,20.0625,20.3125,674200,20.375,20.125,8.237635612487793
04-04-1994,19.75,19.8125,944200,20.0,19.875,8.135302543640137
05-04-1994,20.0,20.0,1030000,20.25,20.1875,8.263219833374023
06-04-1994,20.625,20.75,834000,21.0,20.875,8.544624328613281
07-04-1994,20.6875,20.875,1355400,20.9375,20.9375,8.570212364196777
08-04-1994,20.875,20.875,897400,21.5625,21.4375,8.774872779846191
11-04-1994,21.125,21.375,469200,21.4375,21.3125,8.723706245422363
12-04-1994,20.8125,21.375,437600,21.375,20.8125,8.519041061401367
13-04-1994,20.9375,21.0,1111000,21.3125,21.3125,8.723706245422363
14-04-1994,21.125,21.1875,703000,21.25,21.1875,8.672536849975586
15-04-1994,21.25,21.375,590600,21.625,21.3125,8.723706245422363
18-04-1994,21.125,21.3125,499200,21.4375,21.1875,8.672536849975586
19-04-1994,21.0,21.3125,628400,21.3125,21.1875,8.672536849975586
20-04-1994,20.5,21.1875,755000,21.25,20.625,8.44229507446289
21-04-1994,20.625,20.6875,671400,21.25,21.0,8.595791816711426
22-04-1994,21.0,21.0625,280200,21.1875,21.0625,8.621377944946289
25-04-1994,21.125,21.1875,862200,21.5625,21.5625,8.826042175292969
26-04-1994,22.3125,22.5,1685800,22.625,22.375,9.158615112304688
28-04-1994,21.875,22.375,1094800,22.375,22.1875,9.081867218017578
29-04-1994,22.0625,22.125,974200,22.375,22.25,9.107447624206543
02-05-1994,22.125,22.25,494600,22.5,22.4375,9.184195518493652
03-05-1994,22.25,22.5,713000,22.5625,22.5,9.209781646728516
04-05-1994,22.4375,22.4375,592600,22.625,22.5625,9.235363960266113
05-05-1994,22.4375,22.625,343200,22.625,22.4375,9.184195518493652
06-05-1994,22.0,22.375,368000,22.4375,22.0625,9.030702590942383
09-05-1994,21.9375,22.0625,241800,22.0625,22.0,9.005119323730469
10-05-1994,22.0625,22.0625,817000,22.875,22.5,9.209781646728516
11-05-1994,22.5625,22.875,828200,23.0,22.5625,9.235363960266113
12-05-1994,22.5625,22.625,358400,22.75,22.5625,9.235363960266113
13-05-1994,22.8125,22.8125,891000,23.0625,22.9375,9.388858795166016
16-05-1994,22.75,22.8125,605200,23.0,23.0,9.414443016052246
17-05-1994,22.8125,22.875,381200,23.125,23.0,9.414443016052246
18-05-1994,22.8125,22.9375,343600,22.9375,22.875,9.36327838897705
19-05-1994,22.8125,22.8125,929800,23.125,23.0,9.414443016052246
20-05-1994,22.5,22.9375,397800,22.9375,22.5,9.209781646728516
23-05-1994,22.75,22.75,502000,23.0,22.75,9.312108993530273
24-05-1994,23.25,23.25,929600,23.625,23.375,9.567939758300781
25-05-1994,23.25,23.25,675600,23.875,23.8125,9.74701976776123
26-05-1994,23.875,23.875,1315800,24.1875,24.125,9.874933242797852
27-05-1994,24.0,24.0,634400,24.4375,24.375,9.977261543273926
31-05-1994,24.0625,24.25,536000,24.4375,24.0625,9.849350929260254
01-06-1994,23.5625,24.0,349800,24.125,23.6875,9.695850372314453
02-06-1994,23.4375,23.5625,542400,23.9375,23.875,9.772595405578613
03-06-1994,23.8125,23.8125,507800,24.0,23.875,9.772595405578613
06-06-1994,23.875,23.9375,299800,24.0625,24.0625,9.849350929260254
07-06-1994,23.6875,24.0,537200,24.0,23.75,9.721436500549316
08-06-1994,23.375,23.75,248400,23.8125,23.5625,9.644686698913574
09-06-1994,23.3125,23.4375,271000,23.5,23.4375,9.67564868927002
10-06-1994,23.375,23.5625,142400,23.5625,23.375,9.6498441696167
13-06-1994,23.25,23.375,703200,23.8125,23.6875,9.778852462768555
14-06-1994,23.4375,23.6875,505600,23.75,23.4375,9.67564868927002
15-06-1994,23.375,23.5,473400,23.5625,23.375,9.6498441696167
16-06-1994,23.375,23.375,547200,23.75,23.5625,9.727249145507812
17-06-1994,23.375,23.5625,1240400,23.625,23.375,9.6498441696167
20-06-1994,23.0,23.25,402400,23.3125,23.0625,9.520835876464844
21-06-1994,22.75,23.125,335400,23.1875,22.9375,9.46923542022705
22-06-1994,23.0625,23.0625,942800,23.625,23.375,9.6498441696167
23-06-1994,23.375,23.4375,336600,23.875,23.6875,9.778852462768555
24-06-1994,23.4375,23.8125,463800,23.8125,23.4375,9.67564868927002
27-06-1994,23.375,23.4375,200200,23.625,23.5,9.70145034790039
28-06-1994,23.375,23.5,151000,23.5625,23.4375,9.67564868927002
29-06-1994,23.375,23.375,204800,23.875,23.8125,9.830455780029297
30-06-1994,23.5625,23.8125,241400,23.9375,23.875,9.8562593460083
01-07-1994,23.25,23.6875,503600,23.8125,23.5,9.70145034790039
05-07-1994,23.5,23.625,334000,23.75,23.5,9.70145034790039
06-07-1994,23.5625,23.5625,560200,23.6875,23.625,9.753056526184082
07-07-1994,23.625,23.6875,340800,24.0,23.875,9.8562593460083
08-07-1994,23.75,23.9375,499400,23.9375,23.9375,9.882061004638672
11-07-1994,23.75,24.0,250800,24.0,23.75,9.804655075073242
12-07-1994,23.1875,23.625,812000,23.625,23.3125,9.624037742614746
13-07-1994,23.3125,23.375,232800,23.6875,23.625,9.753056526184082
