Date,Low,Open,Volume,High,Close,Adjusted Close
11-08-2000,384.0,408.0,792528,448.0,420.0,332.2545166015625
14-08-2000,384.0,419.0,80228,420.0,384.0,303.7755126953125
15-08-2000,384.0,389.0,48422,396.0,388.0,306.9398498535156
16-08-2000,386.0,386.0,42166,418.0,396.0,313.2685546875
17-08-2000,382.0,392.0,47247,400.0,384.0,303.7755126953125
18-08-2000,396.0,401.0,60400,460.0,458.0,362.3155517578125
21-08-2000,446.0,482.0,66547,520.0,486.0,384.4659729003906
22-08-2000,432.0,492.0,33878,502.0,432.0,341.74749755859375
23-08-2000,408.0,434.0,17925,440.0,416.0,329.09014892578125
24-08-2000,386.0,414.0,18441,418.0,386.0,305.3576965332031
25-08-2000,388.0,402.0,20113,414.0,412.0,325.92578125
28-08-2000,400.0,429.0,19491,433.5,420.0,332.2545166015625
29-08-2000,404.0,430.0,22728,432.0,428.0,338.5830993652344
30-08-2000,424.0,427.0,19891,470.0,454.0,359.15130615234375
31-08-2000,476.0,482.0,87397,528.0,518.0,409.7805480957031
01-09-2000,480.0,516.0,27738,520.0,504.0,398.7054443359375
05-09-2000,496.0,506.0,23025,520.0,498.0,393.95904541015625
06-09-2000,488.0,516.0,20559,520.0,496.0,392.3768005371094
07-09-2000,428.0,512.0,23959,512.0,460.0,363.8978271484375
08-09-2000,440.0,456.5,15956,464.0,448.0,354.40478515625
11-09-2000,432.0,442.0,34547,448.0,444.0,351.2403869628906
12-09-2000,412.0,435.0,33853,442.0,416.0,329.09014892578125
13-09-2000,396.0,408.0,10363,420.0,400.0,316.43292236328125
14-09-2000,400.0,444.0,8109,444.0,406.0,321.1792907714844
15-09-2000,400.0,402.0,3600,416.0,402.0,318.0150451660156
18-09-2000,382.0,420.0,18659,424.0,386.0,305.3576965332031
19-09-2000,344.0,419.0,48038,420.0,360.0,284.7895812988281
20-09-2000,312.0,368.0,24103,370.0,332.0,262.63934326171875
21-09-2000,326.0,330.0,25247,344.0,340.0,268.9678955078125
22-09-2000,302.0,307.0,8456,346.0,338.0,267.3858337402344
25-09-2000,300.0,340.0,21066,346.0,302.0,238.9067840576172
26-09-2000,288.0,316.0,19634,318.0,296.0,234.1603240966797
27-09-2000,276.0,301.0,16756,302.0,299.0,236.53350830078125
28-09-2000,292.0,296.0,22041,344.0,320.0,253.14630126953125
29-09-2000,279.0,323.0,19125,324.0,284.0,224.6673126220703
02-10-2000,268.0,300.0,6888,301.0,272.0,215.17434692382812
03-10-2000,248.0,275.0,10128,284.0,254.0,200.93487548828125
04-10-2000,216.0,256.0,14600,258.0,228.0,180.36669921875
05-10-2000,208.0,222.0,15178,260.0,210.0,166.12725830078125
06-10-2000,190.0,222.5,11413,224.0,195.0,154.2610321044922
09-10-2000,185.0,210.0,10650,214.0,198.0,156.63427734375
10-10-2000,176.0,202.0,13291,204.0,182.0,143.9770050048828
11-10-2000,130.0,168.0,42488,184.0,132.0,104.4228286743164
12-10-2000,144.0,163.0,37297,168.0,166.0,131.31967163085938
13-10-2000,177.0,182.0,42863,252.0,242.0,191.44190979003906
16-10-2000,236.0,260.0,38531,262.0,260.0,205.681396484375
17-10-2000,244.0,272.0,11047,274.0,250.0,197.7705078125
18-10-2000,190.0,248.0,19303,268.0,258.0,204.0991668701172
19-10-2000,216.0,272.0,25997,298.0,221.0,174.82916259765625
20-10-2000,224.0,240.0,21797,240.0,234.0,185.1132354736328
23-10-2000,228.0,236.0,17800,269.0,264.0,208.8456573486328
24-10-2000,260.0,265.5,19788,272.0,270.0,213.5922088623047
25-10-2000,252.0,267.5,13225,272.0,272.0,215.17434692382812
26-10-2000,270.0,271.0,8788,308.0,290.0,229.41378784179688
27-10-2000,276.0,291.5,3381,292.0,288.0,227.83169555664062
30-10-2000,276.0,286.0,7650,300.0,286.0,226.24945068359375
31-10-2000,280.0,292.0,10488,328.0,312.0,246.81764221191406
01-11-2000,306.0,311.5,11591,336.0,312.0,246.81764221191406
02-11-2000,284.0,311.5,7863,316.0,296.0,234.1603240966797
03-11-2000,287.0,287.0,7700,302.0,292.0,230.99598693847656
06-11-2000,278.0,296.0,9731,300.0,284.0,224.6673126220703
07-11-2000,280.0,288.0,6675,288.0,284.0,224.6673126220703
08-11-2000,241.0,284.0,20909,284.0,258.0,204.0991668701172
09-11-2000,240.0,240.0,12606,256.0,253.0,200.14373779296875
10-11-2000,238.0,244.5,18113,248.0,238.0,188.27760314941406
13-11-2000,218.0,222.0,13725,226.0,226.0,178.78456115722656
14-11-2000,208.0,225.0,15722,234.0,212.0,167.70941162109375
15-11-2000,202.0,220.0,20422,222.0,202.0,159.79856872558594
16-11-2000,200.0,208.5,3903,212.0,203.0,160.5896453857422
17-11-2000,204.0,219.0,14125,220.0,212.0,167.70941162109375
20-11-2000,202.0,209.0,5497,210.0,202.0,159.79856872558594
21-11-2000,198.0,203.0,8266,208.0,198.0,156.63427734375
22-11-2000,192.0,200.0,11475,200.0,192.0,151.88775634765625
24-11-2000,192.0,194.5,1819,196.0,193.0,152.67884826660156
27-11-2000,190.0,204.0,5253,212.0,192.0,151.88775634765625
28-11-2000,172.0,196.0,3931,196.0,174.0,137.64830017089844
29-11-2000,144.0,174.0,17034,178.0,156.0,123.40882110595703
30-11-2000,136.0,152.0,10675,155.0,140.0,110.75151062011719
01-12-2000,139.0,140.0,6878,162.0,154.0,121.8266372680664
04-12-2000,155.0,155.0,2400,164.0,158.0,124.9909896850586
05-12-2000,156.0,162.5,4709,166.0,162.0,128.15528869628906
06-12-2000,146.0,161.0,5175,162.0,154.0,121.8266372680664
07-12-2000,144.0,153.0,13638,166.0,144.0,113.91584777832031
08-12-2000,152.0,152.0,5741,192.0,176.0,139.23045349121094
11-12-2000,176.0,177.0,2597,186.0,176.0,139.23045349121094
12-12-2000,176.0,181.5,10088,234.0,212.0,167.70941162109375
13-12-2000,220.0,235.5,6697,244.0,226.0,178.78456115722656
14-12-2000,218.0,233.5,4953,234.0,224.0,177.202392578125
15-12-2000,214.0,222.5,2538,225.5,214.0,169.2915496826172
18-12-2000,180.0,227.0,3103,228.0,187.0,147.932373046875
