Date,Low,Open,Volume,High,Close,Adjusted Close
16-03-1999,22.5,22.5,4900,23.25,23.25,12.13199234008789
17-03-1999,23.25,23.25,3100,23.25,23.25,12.13199234008789
18-03-1999,23.25,23.25,100,23.25,23.25,12.13199234008789
19-03-1999,23.25,23.25,500,23.25,23.25,12.13199234008789
22-03-1999,23.25,23.25,0,23.25,23.25,12.13199234008789
23-03-1999,23.25,23.25,0,23.25,23.25,12.13199234008789
24-03-1999,23.0,24.25,2000,24.25,23.0,12.001542091369629
25-03-1999,23.0,23.0,0,23.0,23.0,12.001542091369629
26-03-1999,23.0,23.0,0,23.0,23.0,12.001542091369629
29-03-1999,23.0,23.0,0,23.0,23.0,12.001542091369629
30-03-1999,23.0,23.0,0,23.0,23.0,12.001542091369629
31-03-1999,23.0,23.0,2000,24.25,24.25,12.65379810333252
01-04-1999,24.25,24.25,0,24.25,24.25,12.65379810333252
05-04-1999,24.25,24.25,0,24.25,24.25,12.65379810333252
06-04-1999,24.25,24.25,0,24.25,24.25,12.65379810333252
07-04-1999,24.25,24.25,0,24.25,24.25,12.65379810333252
08-04-1999,24.25,24.25,0,24.25,24.25,12.65379810333252
09-04-1999,24.25,24.25,0,24.25,24.25,12.65379810333252
12-04-1999,21.0,21.0,700,21.0,21.0,10.957927703857422
13-04-1999,21.0,21.0,0,21.0,21.0,10.957927703857422
14-04-1999,23.0,23.0,1400,24.0,24.0,12.523351669311523
15-04-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
16-04-1999,24.5,25.0,200,25.0,24.5,12.784250259399414
19-04-1999,24.5,24.5,0,24.5,24.5,12.784250259399414
20-04-1999,22.0,25.0,200,25.0,22.0,11.479732513427734
21-04-1999,22.0,22.0,500,24.0,24.0,12.523351669311523
22-04-1999,24.0,24.0,100,24.0,24.0,12.523351669311523
23-04-1999,22.0,22.0,7700,23.5,23.5,12.262447357177734
26-04-1999,23.4375,24.0,2100,24.0,24.0,12.523351669311523
27-04-1999,23.0,24.0,5000,26.0,25.0,13.045158386230469
28-04-1999,25.0,26.5,700,26.5,25.0,13.045158386230469
29-04-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
30-04-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
03-05-1999,26.0,26.0,1200,26.0,26.0,13.566963195800781
04-05-1999,26.0,26.0,0,26.0,26.0,13.566963195800781
05-05-1999,26.0,26.0,0,26.0,26.0,13.566963195800781
06-05-1999,26.0,26.0,0,26.0,26.0,13.566963195800781
07-05-1999,26.0,26.0,0,26.0,26.0,13.566963195800781
10-05-1999,26.0,26.0,0,26.0,26.0,13.566963195800781
11-05-1999,26.0,26.0,0,26.0,26.0,13.566963195800781
12-05-1999,22.5,22.5,1400,24.0,24.0,12.523351669311523
13-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
14-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
17-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
18-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
19-05-1999,23.875,23.875,800,24.0,24.0,12.523351669311523
20-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
21-05-1999,24.0,24.0,400,24.0,24.0,12.523351669311523
24-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
25-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
26-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
27-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
28-05-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
01-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
02-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
03-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
04-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
07-06-1999,24.0,24.0,400,24.0,24.0,12.523351669311523
08-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
09-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
10-06-1999,24.0,24.0,2000,25.0,25.0,13.045158386230469
11-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
14-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
15-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
16-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
17-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
18-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
21-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
22-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
23-06-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
24-06-1999,22.75,22.75,400,24.0,24.0,12.523351669311523
25-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
28-06-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
29-06-1999,22.75,24.0,1400,24.0,22.75,11.87109088897705
30-06-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
01-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
02-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
06-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
07-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
08-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
09-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
12-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
13-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
14-07-1999,22.75,22.75,0,22.75,22.75,11.87109088897705
15-07-1999,23.0,23.0,800,24.25,24.25,12.65379810333252
16-07-1999,24.25,24.25,0,24.25,24.25,12.65379810333252
19-07-1999,24.5,24.5,1100,24.5,24.5,12.784250259399414
20-07-1999,25.0,25.25,600,25.25,25.0,13.045158386230469
21-07-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
22-07-1999,25.0,25.0,300,25.0,25.0,13.045158386230469
23-07-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
26-07-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
27-07-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
28-07-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
29-07-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
30-07-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
02-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
03-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
04-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
05-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
06-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
09-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
10-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
11-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
12-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
13-08-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
16-08-1999,24.0,24.0,2000,24.75,24.75,12.914706230163574
17-08-1999,24.75,24.75,0,24.75,24.75,12.914706230163574
18-08-1999,24.75,24.75,0,24.75,24.75,12.914706230163574
19-08-1999,24.5,24.5,300,25.5,25.5,13.306051254272461
20-08-1999,25.5,25.5,0,25.5,25.5,13.306051254272461
23-08-1999,25.5,25.5,0,25.5,25.5,13.306051254272461
24-08-1999,25.5,25.5,0,25.5,25.5,13.306051254272461
25-08-1999,25.5,25.5,0,25.5,25.5,13.306051254272461
26-08-1999,23.0,23.0,700,24.375,24.375,12.71902847290039
27-08-1999,24.375,24.375,500,24.375,24.375,12.71902847290039
30-08-1999,24.375,24.375,0,24.375,24.375,12.71902847290039
31-08-1999,25.0,25.0,100,25.0,25.0,13.045158386230469
01-09-1999,23.0,23.0,7000,24.5,24.5,12.784250259399414
02-09-1999,24.5,24.5,2500,24.5,24.5,12.784250259399414
03-09-1999,24.5,24.5,0,24.5,24.5,12.784250259399414
07-09-1999,24.0,24.0,800,25.5,25.5,13.306051254272461
08-09-1999,25.5,25.5,0,25.5,25.5,13.306051254272461
09-09-1999,25.5,25.5,1200,25.5,25.5,13.306051254272461
10-09-1999,25.0,26.5,700,26.5,26.0,13.566963195800781
13-09-1999,25.0,25.0,3900,26.0,25.625,13.371283531188965
14-09-1999,25.625,25.625,0,25.625,25.625,13.371283531188965
15-09-1999,26.5,26.5,900,26.5,26.5,13.827862739562988
16-09-1999,25.5,25.5,2200,26.5,26.5,13.827862739562988
17-09-1999,26.5,26.5,0,26.5,26.5,13.827862739562988
20-09-1999,26.5,26.5,0,26.5,26.5,13.827862739562988
21-09-1999,26.5,26.5,0,26.5,26.5,13.827862739562988
22-09-1999,26.5,26.5,0,26.5,26.5,13.827862739562988
23-09-1999,26.5,26.5,0,26.5,26.5,13.827862739562988
24-09-1999,26.5,26.5,0,26.5,26.5,13.827862739562988
27-09-1999,24.0,24.0,300,24.0,24.0,12.523351669311523
28-09-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
29-09-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
30-09-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
01-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
04-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
05-10-1999,24.0,24.0,400,24.0,24.0,12.523351669311523
06-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
07-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
08-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
11-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
12-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
13-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
14-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
15-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
18-10-1999,24.0,24.0,0,24.0,24.0,12.523351669311523
19-10-1999,25.0,25.0,300,25.0,25.0,13.045158386230469
20-10-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
21-10-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
22-10-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
25-10-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
26-10-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
27-10-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
28-10-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
29-10-1999,25.0,25.0,100,25.0,25.0,13.045158386230469
01-11-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
02-11-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
03-11-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
04-11-1999,23.0,23.0,300,23.0,23.0,12.001542091369629
05-11-1999,23.0,23.0,200,23.0,23.0,12.001542091369629
08-11-1999,23.0,23.0,0,23.0,23.0,12.001542091369629
09-11-1999,23.5,23.5,200,23.5,23.5,12.262447357177734
10-11-1999,23.5,23.5,0,23.5,23.5,12.262447357177734
11-11-1999,23.5,23.5,0,23.5,23.5,12.262447357177734
12-11-1999,23.5,23.5,0,23.5,23.5,12.262447357177734
15-11-1999,25.0,25.0,400,25.0,25.0,13.045158386230469
16-11-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
17-11-1999,25.0,25.0,0,25.0,25.0,13.045158386230469
