Date,Low,Open,Volume,High,Close,Adjusted Close
21-02-1973,4.546875,4.546875,20000,4.546875,4.546875,2.4432241916656494
22-02-1973,4.578125,4.578125,6400,4.578125,4.578125,2.4600160121917725
23-02-1973,4.734375,4.734375,43200,4.734375,4.734375,2.543976068496704
26-02-1973,4.734375,4.734375,4800,4.734375,4.734375,2.543976068496704
27-02-1973,4.671875,4.671875,1600,4.671875,4.671875,2.5103912353515625
28-02-1973,4.625,4.625,65600,4.625,4.625,2.485203981399536
01-03-1973,4.640625,4.640625,3200,4.640625,4.640625,2.4936001300811768
02-03-1973,4.625,4.625,1600,4.625,4.625,2.485203981399536
05-03-1973,4.59375,4.59375,14400,4.59375,4.59375,2.468411922454834
06-03-1973,4.609375,4.609375,108000,4.609375,4.609375,2.4768080711364746
07-03-1973,4.5,4.5,36000,4.5,4.5,2.4180374145507812
08-03-1973,4.5,4.5,8000,4.5,4.5,2.4180374145507812
09-03-1973,4.375,4.375,16800,4.375,4.375,2.350869655609131
12-03-1973,4.25,4.25,17600,4.25,4.25,2.283701181411743
13-03-1973,4.3125,4.3125,14400,4.3125,4.3125,2.3172855377197266
14-03-1973,4.265625,4.265625,13600,4.265625,4.265625,2.292097330093384
15-03-1973,4.25,4.25,28000,4.25,4.25,2.283701181411743
16-03-1973,4.25,4.25,121600,4.25,4.25,2.283701181411743
19-03-1973,4.265625,4.265625,16800,4.265625,4.265625,2.292097330093384
20-03-1973,4.21875,4.21875,20000,4.21875,4.21875,2.266908884048462
21-03-1973,4.15625,4.15625,16800,4.15625,4.15625,2.233325242996216
22-03-1973,3.890625,3.890625,16000,3.890625,3.890625,2.090595245361328
23-03-1973,3.8125,3.8125,44000,3.8125,3.8125,2.048614263534546
26-03-1973,3.78125,3.78125,25600,3.78125,3.78125,2.0318222045898438
27-03-1973,4.0,4.0,25600,4.0,4.0,2.1493642330169678
28-03-1973,4.234375,4.234375,12800,4.234375,4.234375,2.275304079055786
29-03-1973,4.375,4.375,25600,4.375,4.375,2.350869655609131
30-03-1973,4.375,4.375,35200,4.375,4.375,2.350869655609131
02-04-1973,4.34375,4.34375,16000,4.34375,4.34375,2.3340773582458496
03-04-1973,4.203125,4.203125,127200,4.203125,4.203125,2.2585129737854004
04-04-1973,4.09375,4.09375,32800,4.09375,4.09375,2.199742317199707
05-04-1973,4.0,4.0,29600,4.0,4.0,2.1493642330169678
06-04-1973,3.90625,3.90625,55200,3.90625,3.90625,2.0989902019500732
09-04-1973,4.03125,4.03125,36000,4.03125,4.03125,2.166158437728882
10-04-1973,4.125,4.125,12000,4.125,4.125,2.216533660888672
11-04-1973,4.125,4.125,53600,4.125,4.125,2.216533660888672
12-04-1973,4.125,4.125,16000,4.125,4.125,2.216533660888672
13-04-1973,4.09375,4.09375,12000,4.09375,4.09375,2.199742317199707
16-04-1973,3.96875,3.96875,24000,3.96875,3.96875,2.1325736045837402
17-04-1973,4.03125,4.03125,12800,4.03125,4.03125,2.166158437728882
18-04-1973,4.03125,4.03125,2400,4.03125,4.03125,2.166158437728882
19-04-1973,4.0625,4.0625,25600,4.0625,4.0625,2.1829495429992676
23-04-1973,4.125,4.125,10400,4.125,4.125,2.216533660888672
24-04-1973,4.0625,4.0625,3200,4.0625,4.0625,2.1829495429992676
25-04-1973,4.0625,4.0625,12800,4.0625,4.0625,2.1829495429992676
26-04-1973,4.09375,4.09375,25600,4.09375,4.09375,2.199742317199707
27-04-1973,4.078125,4.078125,4000,4.078125,4.078125,2.191345691680908
30-04-1973,4.015625,4.015625,20000,4.015625,4.015625,2.157761335372925
01-05-1973,3.8125,3.8125,41600,3.8125,3.8125,2.048614263534546
02-05-1973,3.875,3.875,38400,3.875,3.875,2.082197666168213
03-05-1973,3.90625,0.0,13600,4.0,4.0,2.1493642330169678
04-05-1973,4.03125,0.0,13600,4.171875,4.125,2.216533660888672
07-05-1973,4.0625,0.0,4800,4.09375,4.0625,2.1829495429992676
08-05-1973,3.96875,0.0,7200,4.09375,4.0,2.1493642330169678
09-05-1973,3.875,0.0,283200,3.96875,3.921875,2.107386350631714
10-05-1973,3.921875,0.0,4000,3.984375,3.984375,2.140970230102539
11-05-1973,3.953125,0.0,24800,3.984375,3.953125,2.1241774559020996
14-05-1973,3.875,0.0,10400,3.921875,3.875,2.082197666168213
15-05-1973,3.84375,0.0,57600,3.875,3.84375,2.0654056072235107
16-05-1973,3.796875,0.0,121600,3.8125,3.796875,2.0402183532714844
17-05-1973,3.734375,0.0,23200,3.8125,3.734375,2.0066354274749756
18-05-1973,3.46875,0.0,49600,3.734375,3.46875,1.8639038801193237
21-05-1973,3.375,0.0,60000,3.46875,3.40625,1.8303200006484985
22-05-1973,3.40625,0.0,39200,3.5,3.484375,1.8722994327545166
23-05-1973,3.5,0.0,9600,3.625,3.625,1.947863221168518
24-05-1973,3.625,0.0,9600,3.703125,3.703125,1.989842176437378
25-05-1973,3.8125,0.0,50400,3.921875,3.828125,2.0570108890533447
29-05-1973,3.8125,0.0,35200,3.890625,3.8125,2.048614263534546
30-05-1973,3.65625,0.0,18400,3.78125,3.65625,1.964654803276062
31-05-1973,3.546875,0.0,10400,3.625,3.546875,1.9058825969696045
01-06-1973,3.5,0.0,38400,3.53125,3.53125,1.8974864482879639
04-06-1973,3.46875,0.0,30400,3.53125,3.5,1.8806945085525513
05-06-1973,3.5,0.0,22400,3.6875,3.625,1.947863221168518
06-06-1973,3.5,0.0,16800,3.59375,3.515625,1.88909113407135
07-06-1973,3.5,0.0,11200,3.5625,3.5625,1.9142779111862183
08-06-1973,3.578125,0.0,11200,3.609375,3.578125,1.922674536705017
11-06-1973,3.609375,0.0,4800,3.640625,3.625,1.947863221168518
