Date,Low,Open,Volume,High,Close,Adjusted Close
17-03-1980,9.125,0.0,41600,9.1875,9.125,2.8871641159057617
18-03-1980,9.09375,0.0,29200,9.125,9.09375,2.877274990081787
19-03-1980,9.09375,0.0,25600,9.25,9.25,2.9267125129699707
20-03-1980,9.25,0.0,48000,9.40625,9.28125,2.9366018772125244
21-03-1980,9.125,0.0,87600,9.34375,9.15625,2.89705228805542
24-03-1980,9.125,0.0,25600,9.21875,9.125,2.8871641159057617
25-03-1980,9.0625,0.0,72400,9.09375,9.0625,2.867389678955078
26-03-1980,8.84375,0.0,20400,9.0625,8.90625,2.8179500102996826
27-03-1980,8.25,0.0,44800,8.75,8.3125,2.630087375640869
28-03-1980,8.375,0.0,40000,8.5,8.375,2.6498630046844482
31-03-1980,8.1875,0.0,48400,8.4375,8.4375,2.6696369647979736
01-04-1980,8.3125,0.0,60000,8.5625,8.5625,2.70918869972229
02-04-1980,8.53125,0.0,42000,8.75,8.71875,2.7586259841918945
03-04-1980,8.5,0.0,20800,8.625,8.59375,2.7190744876861572
07-04-1980,8.5,0.0,32400,8.6875,8.5,2.6894140243530273
08-04-1980,8.5,0.0,27600,8.6875,8.6875,2.7487385272979736
09-04-1980,8.59375,0.0,18000,8.71875,8.71875,2.7586259841918945
10-04-1980,8.8125,0.0,29200,8.9375,8.90625,2.8179500102996826
11-04-1980,8.90625,0.0,28000,9.0625,9.0625,2.867389678955078
14-04-1980,8.875,0.0,29200,9.0625,8.875,2.8080649375915527
15-04-1980,8.625,0.0,25600,8.875,8.6875,2.7487385272979736
16-04-1980,8.5625,0.0,40400,8.6875,8.5625,2.70918869972229
17-04-1980,8.4375,0.0,29200,8.6875,8.6875,2.7487385272979736
18-04-1980,8.65625,0.0,30400,8.875,8.75,2.768514394760132
21-04-1980,8.75,0.0,8800,8.875,8.75,2.768514394760132
22-04-1980,8.75,0.0,26400,9.03125,9.03125,2.857501268386841
23-04-1980,9.0,0.0,5600,9.125,9.0625,2.867389678955078
24-04-1980,9.0,0.0,86800,9.25,9.21875,2.91682505607605
25-04-1980,9.15625,0.0,4800,9.21875,9.21875,2.91682505607605
28-04-1980,9.0,0.0,15200,9.15625,9.0625,2.867389678955078
29-04-1980,9.0,0.0,17600,9.1875,9.09375,2.877274990081787
30-04-1980,9.03125,0.0,29600,9.15625,9.09375,2.877274990081787
01-05-1980,8.90625,0.0,19200,9.15625,8.90625,2.8179500102996826
02-05-1980,8.90625,0.0,83200,9.0625,9.0,2.847613573074341
05-05-1980,8.9375,0.0,79600,9.0,9.0,2.847613573074341
06-05-1980,9.03125,0.0,79200,9.25,9.25,2.9267125129699707
