Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-1994,20.75,21.0,719200,22.5,21.625,4.155307769775391
31-01-1994,21.125,21.5,86900,21.625,21.375,4.10727071762085
01-02-1994,21.125,21.25,56900,21.375,21.25,4.083253383636475
02-02-1994,21.25,21.25,43600,21.5,21.25,4.083253383636475
03-02-1994,21.25,21.25,42900,21.5,21.5,4.131289482116699
04-02-1994,21.125,21.25,56500,21.5,21.125,4.059232234954834
07-02-1994,21.125,21.125,40900,21.5,21.375,4.10727071762085
08-02-1994,21.5,21.5,205400,22.25,22.0,4.227366924285889
09-02-1994,22.125,22.125,76900,22.75,22.25,4.275405406951904
10-02-1994,22.25,22.25,42500,23.0,23.0,4.419520378112793
11-02-1994,22.875,22.875,49400,23.875,23.5,4.515594482421875
14-02-1994,23.25,23.25,97400,24.5,23.875,4.587653160095215
15-02-1994,23.125,23.75,62100,24.0,23.125,4.443537712097168
16-02-1994,23.125,23.125,26700,23.625,23.375,4.491579532623291
17-02-1994,23.625,23.625,8900,24.125,24.125,4.635691165924072
18-02-1994,24.0,24.125,27900,24.375,24.25,4.659712314605713
22-02-1994,23.75,24.0,25000,24.125,23.75,4.563634872436523
23-02-1994,23.25,24.0,48100,24.0,23.375,4.491579532623291
24-02-1994,23.0,23.25,48500,23.875,23.25,4.467558860778809
25-02-1994,22.75,23.0,36000,23.0,22.875,4.395501136779785
28-02-1994,22.5,23.125,14500,23.125,22.625,4.347463607788086
01-03-1994,22.5,22.625,74900,23.25,23.0,4.419520378112793
02-03-1994,23.0,23.25,21700,23.75,23.5,4.515594482421875
03-03-1994,23.0,23.5,8600,23.5,23.0,4.419520378112793
04-03-1994,22.75,23.25,5000,23.25,23.0,4.419520378112793
07-03-1994,22.75,22.75,13200,23.125,22.875,4.395501136779785
08-03-1994,22.25,22.75,9800,22.75,22.625,4.347463607788086
09-03-1994,22.5,22.625,38700,22.625,22.5,4.323443412780762
10-03-1994,22.25,22.375,28800,22.5,22.5,4.323443412780762
11-03-1994,22.0,22.125,5800,22.125,22.0,4.227366924285889
14-03-1994,22.0,22.0,59900,23.75,23.25,4.467558860778809
15-03-1994,22.875,23.5,4400,23.5,22.875,4.395501136779785
16-03-1994,23.0,23.0,10800,23.5,23.375,4.491579532623291
17-03-1994,23.25,23.25,18900,23.5,23.5,4.515594482421875
18-03-1994,23.25,23.625,7400,23.625,23.25,4.467558860778809
21-03-1994,23.125,23.25,4100,23.25,23.25,4.467558860778809
22-03-1994,23.125,23.125,33600,23.625,23.25,4.467558860778809
23-03-1994,23.25,23.375,1900,23.5,23.375,4.491579532623291
24-03-1994,23.5,23.5,18400,24.0,24.0,4.611673355102539
25-03-1994,23.75,23.75,5300,24.0,23.75,4.563634872436523
28-03-1994,23.25,23.625,11500,23.625,23.5,4.515594482421875
29-03-1994,23.25,23.875,4200,23.875,23.25,4.467558860778809
30-03-1994,23.0,23.125,20600,23.125,23.125,4.443537712097168
31-03-1994,23.0,23.0,14200,23.125,23.125,4.443537712097168
04-04-1994,22.75,23.0,29900,23.125,22.75,4.3714799880981445
05-04-1994,22.75,23.0,1500,23.125,23.125,4.443537712097168
06-04-1994,23.0,23.125,5100,23.125,23.125,4.443537712097168
07-04-1994,23.25,23.25,3800,23.5,23.375,4.491579532623291
08-04-1994,23.125,23.5,9900,23.5,23.375,4.491579532623291
11-04-1994,23.375,23.375,900,23.5,23.5,4.515594482421875
12-04-1994,23.25,23.25,1600,23.25,23.25,4.467558860778809
13-04-1994,23.25,23.5,7100,23.5,23.25,4.467558860778809
14-04-1994,23.25,23.375,1300,23.375,23.375,4.491579532623291
15-04-1994,23.25,23.375,10800,23.75,23.75,4.563634872436523
18-04-1994,23.375,23.5,9900,23.625,23.375,4.491579532623291
19-04-1994,23.125,23.25,40200,23.375,23.125,4.443537712097168
20-04-1994,22.875,23.125,22400,23.125,22.875,4.395501136779785
21-04-1994,23.125,23.125,4400,23.375,23.375,4.491579532623291
22-04-1994,23.125,23.25,72100,24.0,24.0,4.611673355102539
25-04-1994,24.0,24.25,19200,24.375,24.0,4.611673355102539
26-04-1994,23.875,23.875,1100,24.0,24.0,4.662179946899414
28-04-1994,24.0,24.0,4000,24.5,24.375,4.735022068023682
29-04-1994,24.375,24.375,6200,24.625,24.375,4.735022068023682
02-05-1994,24.375,24.625,5700,24.625,24.625,4.783592700958252
03-05-1994,24.5,24.5,2900,24.75,24.5,4.759308815002441
04-05-1994,24.125,24.625,10600,24.75,24.75,4.807872772216797
05-05-1994,25.0,25.0,19800,25.75,25.5,4.953566074371338
06-05-1994,25.125,25.25,8600,25.25,25.25,4.905003547668457
09-05-1994,25.125,25.375,10900,25.375,25.125,4.8807196617126465
10-05-1994,25.125,25.375,19000,25.5,25.375,4.929283618927002
11-05-1994,25.375,25.375,5000,25.75,25.625,4.977848052978516
12-05-1994,25.5,25.75,10100,25.75,25.5,4.953566074371338
13-05-1994,25.5,25.5,9000,25.75,25.75,5.002132415771484
16-05-1994,25.625,25.625,4100,25.75,25.625,4.977848052978516
17-05-1994,25.625,25.75,4400,25.75,25.75,5.002132415771484
18-05-1994,25.25,25.75,35400,25.75,25.25,4.905003547668457
19-05-1994,25.25,25.375,22900,25.375,25.25,4.905003547668457
20-05-1994,25.25,25.375,2500,25.375,25.25,4.905003547668457
23-05-1994,24.5,25.0,18200,25.0,24.5,4.759308815002441
24-05-1994,24.0,24.375,32100,24.375,24.125,4.686461448669434
25-05-1994,24.25,24.25,14900,24.625,24.625,4.783592700958252
26-05-1994,24.75,24.75,15300,25.0,25.0,4.856436252593994
27-05-1994,24.75,25.0,2700,25.0,24.875,4.832156181335449
31-05-1994,24.75,24.875,15600,25.0,25.0,4.856436252593994
01-06-1994,24.875,25.0,4000,25.0,25.0,4.856436252593994
02-06-1994,24.875,24.875,10500,25.0,25.0,4.856436252593994
03-06-1994,24.875,25.0,14500,25.0,24.875,4.832156181335449
06-06-1994,24.5,25.0,21900,25.0,24.875,4.832156181335449
07-06-1994,24.625,24.625,15600,24.875,24.875,4.832156181335449
08-06-1994,24.75,24.75,5500,24.875,24.875,4.832156181335449
09-06-1994,24.625,24.75,10600,25.0,25.0,4.856436252593994
10-06-1994,25.0,25.25,13800,25.375,25.0,4.856436252593994
13-06-1994,25.0,25.0,7800,25.25,25.25,4.905003547668457
14-06-1994,25.125,25.125,5100,25.5,25.25,4.905003547668457
15-06-1994,25.0,25.375,16200,25.625,25.625,4.977848052978516
16-06-1994,25.875,25.875,4100,26.5,26.25,5.099259376525879
17-06-1994,26.0,26.0,7100,26.125,26.125,5.074978828430176
20-06-1994,26.0,26.0,900,26.375,26.375,5.123542785644531
21-06-1994,26.125,26.125,5400,26.625,26.625,5.172107696533203
22-06-1994,26.375,26.375,4200,27.0,26.625,5.172107696533203
23-06-1994,26.375,26.75,70900,26.75,26.375,5.123542785644531
24-06-1994,26.0,26.375,13100,26.625,26.0,5.050694942474365
27-06-1994,26.0,26.0,18000,26.25,26.125,5.074978828430176
28-06-1994,26.0,26.0,1900,26.0,26.0,5.050694942474365
29-06-1994,25.5,25.75,20900,25.75,25.5,4.953566074371338
30-06-1994,24.625,25.25,32200,25.375,25.0,4.856436252593994
01-07-1994,25.0,25.0,800,25.0,25.0,4.856436252593994
05-07-1994,25.0,25.0,1300,25.0,25.0,4.856436252593994
06-07-1994,24.75,25.0,26500,25.0,24.875,4.832156181335449
07-07-1994,24.75,24.875,12500,24.875,24.75,4.807872772216797
08-07-1994,24.75,24.75,10600,25.0,24.75,4.807872772216797
11-07-1994,24.375,24.75,3100,24.75,24.375,4.735022068023682
12-07-1994,24.5,24.5,8000,24.75,24.75,4.807872772216797
13-07-1994,24.75,24.75,3900,25.625,25.625,4.977848052978516
14-07-1994,25.125,25.375,6800,26.0,26.0,5.050694942474365
15-07-1994,26.125,26.25,6500,26.875,26.625,5.172107696533203
18-07-1994,26.25,26.375,2000,26.5,26.25,5.18692684173584
19-07-1994,26.0,26.0,2100,26.375,26.125,5.16222620010376
20-07-1994,25.625,26.0,6100,26.0,25.875,5.112827301025391
21-07-1994,25.375,25.625,2100,25.75,25.75,5.088128089904785
22-07-1994,25.5,25.75,1700,25.75,25.75,5.088128089904785
25-07-1994,25.75,25.75,400,25.75,25.75,5.088128089904785
26-07-1994,25.5,25.75,4400,26.0,25.5,5.0387282371521
27-07-1994,25.0,25.375,4800,25.375,25.25,4.989328861236572
28-07-1994,24.75,25.0,11400,25.0,24.875,4.91522741317749
29-07-1994,24.25,24.875,9200,24.875,24.5,4.841130256652832
01-08-1994,24.625,24.75,4400,25.125,24.875,4.91522741317749
02-08-1994,24.625,24.625,900,24.875,24.75,4.890528678894043
03-08-1994,24.75,25.0,4900,25.125,25.0,4.939931392669678
04-08-1994,24.75,24.75,4600,25.125,25.125,4.964629650115967
05-08-1994,25.25,25.375,4100,25.75,25.5,5.0387282371521
08-08-1994,25.25,25.25,2700,25.5,25.5,5.0387282371521
09-08-1994,25.25,25.5,1700,25.625,25.25,4.989328861236572
10-08-1994,25.25,25.25,14200,25.625,25.25,4.989328861236572
11-08-1994,25.375,25.375,300,25.375,25.375,5.014026641845703
12-08-1994,25.625,25.625,2100,25.75,25.75,5.088128089904785
15-08-1994,24.875,25.625,9800,25.625,25.0,4.939931392669678
16-08-1994,24.75,24.75,15600,25.125,25.125,4.964629650115967
17-08-1994,25.125,25.375,19300,25.5,25.25,4.989328861236572
18-08-1994,24.5,25.125,29200,25.25,24.875,4.91522741317749
19-08-1994,24.125,24.25,764300,24.875,24.5,4.841130256652832
22-08-1994,24.25,24.5,48900,24.5,24.25,4.791732311248779
23-08-1994,24.125,24.125,72900,24.5,24.375,4.8164286613464355
24-08-1994,24.5,24.5,58500,24.75,24.5,4.841130256652832
25-08-1994,24.5,24.625,64900,24.75,24.75,4.890528678894043
26-08-1994,24.875,24.875,36900,25.375,25.0,4.939931392669678
29-08-1994,24.75,24.875,20400,25.0,25.0,4.939931392669678
30-08-1994,24.875,25.0,6000,25.0,25.0,4.939931392669678
31-08-1994,24.25,24.75,16800,25.0,24.5,4.841130256652832
01-09-1994,24.375,24.375,18800,24.875,24.5,4.841130256652832
02-09-1994,24.25,24.25,26200,24.625,24.5,4.841130256652832
06-09-1994,24.5,24.5,8100,24.75,24.5,4.841130256652832
07-09-1994,24.5,24.625,5000,24.75,24.5,4.841130256652832
08-09-1994,24.25,24.625,9200,24.625,24.375,4.8164286613464355
09-09-1994,24.375,24.375,68400,24.875,24.875,4.91522741317749
12-09-1994,24.625,24.875,7800,24.875,24.75,4.890528678894043
13-09-1994,24.75,24.875,33200,24.875,24.875,4.91522741317749
14-09-1994,24.625,25.0,42900,25.0,24.75,4.890528678894043
15-09-1994,24.75,24.875,52400,24.875,24.875,4.91522741317749
16-09-1994,24.75,24.75,4800,24.875,24.875,4.91522741317749
19-09-1994,24.75,25.0,11200,25.0,24.875,4.91522741317749
20-09-1994,24.625,24.875,8100,24.875,24.75,4.890528678894043
21-09-1994,24.625,24.75,36200,24.75,24.625,4.8658294677734375
22-09-1994,24.375,24.75,11100,24.75,24.625,4.8658294677734375
23-09-1994,24.5,24.625,17500,24.625,24.625,4.8658294677734375
26-09-1994,24.5,24.5,5400,24.625,24.625,4.8658294677734375
27-09-1994,24.5,24.625,1800,24.625,24.5,4.841130256652832
28-09-1994,24.5,24.625,5200,24.75,24.625,4.8658294677734375
29-09-1994,24.5,24.625,14600,24.625,24.625,4.8658294677734375
30-09-1994,24.5,24.75,3700,24.75,24.625,4.8658294677734375
03-10-1994,24.375,24.875,10600,24.875,24.5,4.841130256652832
04-10-1994,24.5,24.75,18100,24.75,24.5,4.841130256652832
05-10-1994,24.25,24.5,80400,24.5,24.375,4.8164286613464355
06-10-1994,24.0,24.375,64900,24.375,24.125,4.767031669616699
07-10-1994,23.875,24.0,25400,24.0,23.875,4.717630386352539
10-10-1994,23.625,23.625,5300,23.875,23.875,4.717630386352539
11-10-1994,23.875,23.875,24900,24.0,24.0,4.742331027984619
12-10-1994,23.875,24.0,2600,24.0,23.875,4.717630386352539
13-10-1994,23.875,23.875,39500,25.375,25.375,5.014026641845703
14-10-1994,24.875,25.375,50900,25.875,25.5,5.0387282371521
17-10-1994,25.5,25.5,9300,25.625,25.5,5.0387282371521
18-10-1994,24.75,25.25,46400,25.25,25.25,5.078956127166748
19-10-1994,25.0,25.125,3000,25.25,25.25,5.078956127166748
20-10-1994,25.0,25.25,1600,25.25,25.0,5.028669834136963
21-10-1994,24.75,24.875,1300,25.0,24.875,5.00352668762207
24-10-1994,24.875,25.0,4900,25.25,25.0,5.028669834136963
25-10-1994,24.875,25.0,1300,25.0,24.875,5.00352668762207
26-10-1994,24.75,24.75,6800,25.0,24.75,4.978382110595703
27-10-1994,24.875,25.0,18000,25.125,25.0,5.028669834136963
28-10-1994,24.875,25.0,5600,25.0,25.0,5.028669834136963
31-10-1994,24.625,25.0,17500,25.0,24.875,5.00352668762207
01-11-1994,24.875,24.875,2800,25.0,25.0,5.028669834136963
