Date,Low,Open,Volume,High,Close,Adjusted Close
28-01-2000,12.0,12.0,11192000,12.1875,12.0,6.365254878997803
31-01-2000,12.0,12.0,1880900,12.0625,12.0625,6.398403644561768
01-02-2000,12.0,12.0,367100,12.0625,12.0,6.365254878997803
02-02-2000,12.0,12.0,697400,12.0625,12.0625,6.398403644561768
03-02-2000,12.0,12.0,579800,12.0625,12.0,6.365254878997803
04-02-2000,11.25,12.0,1681900,12.0625,11.375,6.033730983734131
07-02-2000,10.5,11.125,927200,11.125,10.8125,5.735357761383057
08-02-2000,9.75,10.75,795400,10.875,9.875,5.238071441650391
09-02-2000,9.75,9.875,1710100,10.25,10.125,5.370682239532471
10-02-2000,10.4375,10.5,571500,11.25,10.625,5.635900974273682
11-02-2000,10.0,10.75,1062000,10.9375,10.0625,5.337530136108398
14-02-2000,9.75,10.1875,289000,10.3125,9.8125,5.204921245574951
15-02-2000,9.9375,10.0,541400,10.625,10.4375,5.536442756652832
16-02-2000,10.25,10.5625,360700,10.625,10.5625,5.602749347686768
17-02-2000,10.25,10.875,291600,10.875,10.375,5.503291130065918
18-02-2000,10.3125,10.5,330700,10.75,10.5,5.569597244262695
22-02-2000,9.875,10.25,314500,10.625,10.3125,5.470139980316162
23-02-2000,9.8125,9.9375,494300,10.3125,10.125,5.370682239532471
24-02-2000,9.875,10.125,919900,10.3125,9.9375,5.27122688293457
25-02-2000,10.0,10.3125,1095500,10.625,10.4375,5.536442756652832
28-02-2000,10.0,10.25,366800,10.3125,10.125,5.370682239532471
29-02-2000,10.0,10.125,1652500,11.25,10.875,5.76851224899292
01-03-2000,10.875,10.875,266700,11.25,11.0,5.834814071655273
02-03-2000,10.8125,10.875,890300,11.9375,11.5,6.100034236907959
03-03-2000,10.875,11.5,160300,11.5,10.9375,5.801662921905518
06-03-2000,10.375,10.5,242800,10.8125,10.75,5.702204704284668
07-03-2000,10.0625,10.625,393500,10.75,10.25,5.43698787689209
08-03-2000,9.875,10.1875,424200,10.5,10.375,5.503291130065918
09-03-2000,10.25,10.3125,310100,10.8125,10.5,5.569597244262695
10-03-2000,10.0,10.5,168900,10.5,10.25,5.43698787689209
13-03-2000,9.5625,10.0,1767400,10.125,9.75,5.1717681884765625
14-03-2000,9.75,9.75,660500,10.125,9.875,5.238071441650391
15-03-2000,9.25,9.875,1231100,9.875,9.625,5.105463027954102
16-03-2000,9.5,9.8125,404100,10.25,9.75,5.1717681884765625
17-03-2000,9.25,9.75,814800,9.9375,9.5625,5.072310924530029
20-03-2000,9.5,9.6875,473200,9.875,9.625,5.105463027954102
21-03-2000,9.5,9.5625,176200,9.8125,9.625,5.105463027954102
22-03-2000,9.5,9.625,430300,9.75,9.5625,5.072310924530029
23-03-2000,9.5,9.5,477400,9.8125,9.6875,5.138617515563965
24-03-2000,9.5625,9.5625,236700,9.875,9.75,5.1717681884765625
27-03-2000,9.75,9.75,67600,10.0,9.875,5.238071441650391
28-03-2000,9.75,9.875,157900,10.0,9.8125,5.204921245574951
29-03-2000,9.8125,9.8125,253000,9.9375,9.8125,5.204921245574951
30-03-2000,9.8125,9.8125,235200,10.125,9.8125,5.204921245574951
31-03-2000,9.75,9.8125,627300,10.5,10.5,5.569597244262695
03-04-2000,10.0625,10.375,108400,10.375,10.3125,5.470139980316162
04-04-2000,10.0,10.375,411000,10.375,10.0625,5.337530136108398
05-04-2000,9.875,9.9375,196100,10.375,10.25,5.43698787689209
06-04-2000,10.125,10.25,296700,11.125,10.8125,5.735357761383057
07-04-2000,10.25,10.5,262800,10.625,10.5,5.569597244262695
10-04-2000,10.25,10.5,139400,10.75,10.3125,5.470139980316162
11-04-2000,10.25,10.25,315000,10.625,10.5625,5.602749347686768
12-04-2000,10.5625,10.5625,392000,11.0,10.8125,5.735357761383057
13-04-2000,10.625,10.6875,243200,10.8125,10.625,5.635900974273682
14-04-2000,10.0,10.5,269900,10.625,10.125,5.370682239532471
17-04-2000,10.0,10.0,321300,10.375,10.375,5.503291130065918
18-04-2000,10.25,10.375,862200,10.8125,10.625,5.635900974273682
19-04-2000,10.5,10.5,531900,11.25,10.9375,5.801662921905518
20-04-2000,10.625,10.9375,193500,11.0,10.625,5.635900974273682
24-04-2000,10.75,10.75,355700,11.375,10.875,5.76851224899292
25-04-2000,11.0,11.0625,621900,11.5625,11.25,5.967426776885986
26-04-2000,11.0,11.25,391800,11.375,11.0,5.834814071655273
27-04-2000,10.8125,11.0,246300,11.25,10.8125,5.735357761383057
28-04-2000,11.0,11.125,284100,11.875,11.875,6.298949241638184
01-05-2000,11.375,11.75,138900,11.9375,11.625,6.166336536407471
02-05-2000,11.5625,11.875,159200,11.875,11.75,6.232645511627197
03-05-2000,11.5,11.625,105600,11.6875,11.5625,6.133186340332031
04-05-2000,11.5,11.5625,180500,11.75,11.75,6.232645511627197
05-05-2000,11.5625,11.625,240000,12.0,11.9375,6.332103729248047
08-05-2000,11.75,11.875,117900,12.0,11.875,6.298949241638184
09-05-2000,11.625,11.75,87000,11.875,11.8125,6.2657976150512695
10-05-2000,11.5625,11.75,383700,12.0625,12.0,6.365254878997803
11-05-2000,11.75,11.875,404400,12.0625,12.0,6.365254878997803
12-05-2000,11.9375,12.0,171600,12.125,12.0,6.365254878997803
15-05-2000,12.0,12.0,227300,12.75,12.625,6.69677734375
16-05-2000,12.125,12.5,251500,12.625,12.375,6.5641679763793945
17-05-2000,12.25,12.3125,195300,12.4375,12.375,6.5641679763793945
18-05-2000,11.9375,12.25,94500,12.3125,12.0,6.365254878997803
19-05-2000,12.0,12.0,334900,12.25,12.125,6.4315595626831055
22-05-2000,11.8125,12.0625,522400,12.1875,11.8125,6.2657976150512695
23-05-2000,11.375,11.75,258000,11.875,11.625,6.166336536407471
24-05-2000,11.25,11.5,209300,11.5625,11.375,6.033730983734131
25-05-2000,11.25,11.25,526000,11.5,11.4375,6.066883087158203
26-05-2000,11.375,11.4375,159000,11.875,11.875,6.298949241638184
30-05-2000,11.25,11.5,217400,11.6875,11.6875,6.199491500854492
31-05-2000,11.5,11.5625,204900,11.75,11.5,6.100034236907959
01-06-2000,11.0,11.375,359100,11.75,11.25,5.967426776885986
02-06-2000,11.0,11.25,183500,11.375,11.0625,5.867966175079346
05-06-2000,11.0,11.0625,102800,11.375,11.125,5.901121139526367
06-06-2000,11.125,11.125,353700,11.3125,11.3125,6.000580310821533
07-06-2000,11.0,11.3125,303500,11.375,11.25,5.967426776885986
08-06-2000,11.0625,11.1875,279300,11.25,11.0625,5.867966175079346
09-06-2000,11.0,11.0625,136600,11.375,11.25,5.967426776885986
12-06-2000,11.0,11.125,215100,11.375,11.375,6.033730983734131
13-06-2000,11.125,11.375,128400,11.5,11.5,6.100034236907959
14-06-2000,11.3125,11.5,137200,11.6875,11.5625,6.133186340332031
15-06-2000,11.125,11.5625,140000,11.8125,11.25,5.967426776885986
16-06-2000,10.6875,11.125,417700,11.125,10.6875,5.6690545082092285
19-06-2000,10.625,10.75,178200,11.125,11.0,5.834814071655273
20-06-2000,10.125,10.8125,183500,10.875,10.5,5.569597244262695
21-06-2000,10.25,10.25,122900,11.0,11.0,5.834814071655273
22-06-2000,10.25,10.875,205200,11.0,10.6875,5.6690545082092285
23-06-2000,10.3125,10.4375,69700,10.625,10.5,5.569597244262695
26-06-2000,10.25,10.375,307100,10.6875,10.625,5.635900974273682
27-06-2000,10.5,10.5,203500,11.0,11.0,5.834814071655273
28-06-2000,10.8125,10.875,199200,11.875,11.625,6.166336536407471
29-06-2000,11.375,11.625,292900,12.375,12.125,6.4315595626831055
30-06-2000,10.125,12.25,1202100,12.5,10.125,5.370682239532471
03-07-2000,10.875,10.875,174800,11.375,11.3125,6.000580310821533
05-07-2000,11.0,11.375,161500,11.375,11.25,5.967426776885986
06-07-2000,10.875,11.125,58700,11.25,11.25,5.967426776885986
07-07-2000,10.875,11.125,82700,11.25,11.125,5.901121139526367
10-07-2000,11.0,11.125,103000,11.3125,11.0,5.834814071655273
11-07-2000,10.875,11.0,206700,11.3125,11.25,5.967426776885986
12-07-2000,11.25,11.25,54300,11.5,11.5,6.100034236907959
13-07-2000,11.4375,11.4375,146800,11.875,11.6875,6.199491500854492
14-07-2000,11.5625,11.625,173100,11.9375,11.875,6.298949241638184
17-07-2000,11.75,11.8125,148600,12.0,11.9375,6.332103729248047
18-07-2000,11.8125,11.875,123100,12.0,12.0,6.365254878997803
19-07-2000,11.25,11.875,143900,11.875,11.5,6.100034236907959
20-07-2000,11.5625,11.75,80600,11.75,11.625,6.166336536407471
21-07-2000,11.625,11.625,118300,11.875,11.625,6.166336536407471
24-07-2000,11.0,11.5,259700,11.5,11.125,5.901121139526367
25-07-2000,10.875,11.0,32300,11.1875,10.875,5.76851224899292
26-07-2000,10.75,10.875,38800,10.9375,10.8125,5.735357761383057
27-07-2000,10.75,10.75,195300,11.0,10.875,5.76851224899292
28-07-2000,10.75,10.8125,97900,10.9375,10.75,5.702204704284668
31-07-2000,10.8125,10.8125,55200,11.375,11.375,6.033730983734131
01-08-2000,10.8125,11.25,57000,11.25,10.9375,5.801662921905518
02-08-2000,10.625,10.875,105500,11.0,11.0,5.834814071655273
03-08-2000,10.625,11.0,99200,11.0625,10.75,5.702204704284668
04-08-2000,10.625,10.6875,40500,10.9375,10.9375,5.801662921905518
07-08-2000,10.75,10.875,40400,11.25,11.125,5.901121139526367
08-08-2000,10.6875,11.0625,52700,11.1875,10.6875,5.6690545082092285
09-08-2000,10.625,10.6875,151500,11.75,11.625,6.166336536407471
10-08-2000,11.0,11.5,68300,11.5,11.0,5.834814071655273
11-08-2000,10.875,10.875,53900,11.5,11.5,6.100034236907959
14-08-2000,11.0625,11.375,92700,11.75,11.4375,6.066883087158203
15-08-2000,11.125,11.5,59000,11.5,11.3125,6.000580310821533
16-08-2000,11.25,11.4375,87800,11.75,11.625,6.166336536407471
17-08-2000,11.5,11.5,160800,11.6875,11.5625,6.133186340332031
18-08-2000,11.0,11.4375,69500,11.4375,11.25,5.967426776885986
21-08-2000,10.75,11.125,337400,11.125,10.75,5.702204704284668
22-08-2000,10.875,10.875,78100,11.75,11.625,6.166336536407471
23-08-2000,11.25,11.5,74200,11.5,11.3125,6.000580310821533
24-08-2000,11.1875,11.3125,104800,11.375,11.25,5.967426776885986
25-08-2000,11.3125,11.375,270800,11.75,11.75,6.232645511627197
28-08-2000,11.625,12.0,178400,12.0,11.875,6.298949241638184
29-08-2000,11.75,11.8125,95800,11.875,11.75,6.232645511627197
30-08-2000,11.6875,11.75,106500,11.75,11.6875,6.199491500854492
31-08-2000,11.625,11.6875,131800,11.75,11.6875,6.199491500854492
01-09-2000,11.75,11.875,141300,12.0625,12.0625,6.398403644561768
05-09-2000,12.0625,12.125,535000,13.1875,12.75,6.7630815505981445
06-09-2000,12.4375,12.625,120600,12.8125,12.75,6.7630815505981445
07-09-2000,12.5,12.75,90400,12.875,12.5625,6.66362190246582
08-09-2000,12.375,12.5,284900,12.9375,12.5,6.630471706390381
11-09-2000,12.25,12.5,202700,12.5,12.375,6.5641679763793945
12-09-2000,12.25,12.375,36300,12.4375,12.3125,6.531016826629639
13-09-2000,12.25,12.25,77900,12.6875,12.6875,6.729928493499756
14-09-2000,12.3125,12.6875,184000,12.75,12.5,6.630471706390381
15-09-2000,12.0,12.375,380000,12.375,12.125,6.4315595626831055
18-09-2000,12.0,12.0625,68900,12.25,12.0625,6.398403644561768
19-09-2000,12.0625,12.125,76900,12.1875,12.125,6.4315595626831055
20-09-2000,11.75,12.0,263600,12.1875,11.875,6.298949241638184
21-09-2000,11.125,11.5,83000,11.625,11.3125,6.000580310821533
22-09-2000,10.75,10.9375,97000,11.0,10.8125,5.735357761383057
25-09-2000,10.5,10.75,31300,10.875,10.5,5.569597244262695
26-09-2000,10.3125,10.5,46500,10.5,10.4375,5.536442756652832
27-09-2000,10.25,10.4375,143000,10.5,10.5,5.569597244262695
28-09-2000,10.5625,10.625,1865000,11.75,11.3125,6.000580310821533
29-09-2000,10.8125,11.3125,75800,11.375,11.0625,5.867966175079346
02-10-2000,10.875,11.0,72700,11.375,11.25,5.967426776885986
03-10-2000,11.0,11.25,179500,11.4375,11.0,5.834814071655273
04-10-2000,11.0625,11.125,75700,11.375,11.375,6.033730983734131
05-10-2000,10.875,11.25,24700,11.375,10.875,5.76851224899292
06-10-2000,11.0,11.0,529200,12.125,12.125,6.4315595626831055
09-10-2000,11.875,12.0625,370100,12.375,12.125,6.4315595626831055
10-10-2000,12.0,12.125,116900,12.125,12.125,6.4315595626831055
11-10-2000,11.8125,12.125,386500,12.375,12.0625,6.398403644561768
12-10-2000,11.625,11.9375,118300,11.9375,11.875,6.298949241638184
13-10-2000,11.8125,11.875,186100,12.375,12.3125,6.531016826629639
16-10-2000,11.875,12.1875,97400,12.375,12.3125,6.531016826629639
17-10-2000,12.0625,12.375,197800,12.5,12.1875,6.464710235595703
18-10-2000,12.0625,12.25,103500,12.75,12.75,6.7630815505981445
19-10-2000,12.75,12.75,204400,13.625,13.0625,6.928844928741455
20-10-2000,12.75,12.9375,75400,13.0625,12.9375,6.862537384033203
23-10-2000,12.8125,12.875,21600,12.9375,12.9375,6.862537384033203
24-10-2000,12.875,12.9375,89800,13.0,13.0,6.89569091796875
25-10-2000,12.375,12.875,122700,12.9375,12.4375,6.597318649291992
26-10-2000,12.375,12.375,45300,13.125,13.125,6.961995601654053
27-10-2000,13.0,13.125,36400,13.1875,13.125,6.961995601654053
30-10-2000,13.0625,13.0625,549100,14.75,14.25,7.558740139007568
31-10-2000,14.5625,14.75,397800,14.75,14.6875,7.790806770324707
01-11-2000,14.0,14.75,962500,14.75,14.125,7.492433071136475
02-11-2000,14.25,14.25,77900,14.625,14.5,7.691349983215332
03-11-2000,13.875,14.4375,40700,14.4375,14.0625,7.459280967712402
06-11-2000,13.9375,14.0625,40900,14.3125,14.3125,7.591889381408691
07-11-2000,14.1875,14.25,32800,14.75,14.625,7.757652759552002
08-11-2000,14.375,14.6875,47700,14.9375,14.4375,7.658195972442627
09-11-2000,13.8125,14.4375,214900,14.4375,14.125,7.492433071136475
10-11-2000,12.0,14.0625,1144900,14.0625,12.5,6.630471706390381
13-11-2000,12.0,12.5,3034800,13.3125,13.0,6.89569091796875
14-11-2000,13.0625,13.0625,324800,15.0,14.6875,7.790806770324707
15-11-2000,14.3125,14.625,171200,15.125,14.4375,7.658195972442627
16-11-2000,13.875,14.25,251500,14.5625,14.0,7.426129341125488
17-11-2000,13.9375,14.1875,46600,14.25,14.1875,7.525585651397705
20-11-2000,14.0,14.125,306400,14.5,14.3125,7.591889381408691
21-11-2000,14.25,14.5,45200,14.8125,14.25,7.558740139007568
22-11-2000,14.1875,14.3125,168300,15.125,14.9375,7.923412799835205
24-11-2000,14.875,14.875,39000,15.375,15.1875,8.056026458740234
27-11-2000,14.75,15.1875,204700,15.375,14.875,7.890259742736816
28-11-2000,14.8125,14.875,277100,14.9375,14.875,7.890259742736816
29-11-2000,14.6875,14.8125,135000,14.9375,14.875,7.890259742736816
30-11-2000,14.375,14.875,131300,14.9375,14.6875,7.790806770324707
01-12-2000,14.6875,14.6875,476900,15.0625,14.9375,7.923412799835205
04-12-2000,14.6875,14.9375,178200,15.0,14.8125,7.85711145401001
05-12-2000,14.875,14.875,410600,15.25,15.0625,7.989717483520508
06-12-2000,14.75,15.125,232700,15.375,15.0,7.95656681060791
07-12-2000,14.9375,15.0,224300,15.125,15.0,7.95656681060791
08-12-2000,15.125,15.25,158400,15.9375,15.9375,8.453852653503418
11-12-2000,15.5,15.875,202400,16.125,16.0,8.487006187438965
12-12-2000,15.875,15.875,222400,16.375,16.0,8.487006187438965
13-12-2000,14.875,16.125,200800,16.25,14.875,7.890259742736816
14-12-2000,13.9375,15.0,457400,15.0,14.0625,7.459280967712402
15-12-2000,12.75,14.0625,203000,14.375,14.375,7.6250410079956055
18-12-2000,14.3125,14.375,181200,15.375,14.875,7.890259742736816
19-12-2000,13.875,14.875,153100,14.875,14.875,7.890259742736816
20-12-2000,14.5,14.625,269500,15.9375,15.625,8.288093566894531
21-12-2000,15.375,15.5,594600,15.9375,15.625,8.288093566894531
22-12-2000,15.4375,15.75,308100,15.75,15.75,8.354394912719727
26-12-2000,15.4375,15.75,122000,15.875,15.8125,8.387541770935059
27-12-2000,15.5625,15.8125,183300,16.6875,16.6875,8.851678848266602
28-12-2000,16.375,16.8125,277900,16.8125,16.5,8.75222396850586
29-12-2000,15.125,16.4375,1236000,16.75,16.125,8.55331039428711
02-01-2001,15.375,16.0625,128400,16.125,15.625,8.288093566894531
03-01-2001,15.5,15.625,85300,16.0625,15.75,8.354394912719727
04-01-2001,15.375,15.75,302000,16.3125,16.3125,8.652766227722168
05-01-2001,15.25,16.375,222000,16.5,15.6875,8.321244239807129
08-01-2001,15.75,15.8125,124800,16.0,16.0,8.487006187438965
09-01-2001,15.5,16.125,125200,16.125,15.6875,8.321244239807129
10-01-2001,15.0,15.5,192400,15.5,15.0,7.95656681060791
11-01-2001,14.0625,15.125,193000,15.25,14.3125,7.591889381408691
12-01-2001,13.625,14.25,287000,14.3125,14.125,7.492433071136475
16-01-2001,13.8125,14.25,301500,15.0,14.5,7.691349983215332
17-01-2001,13.5,14.5,351300,14.5625,14.1875,7.525585651397705
18-01-2001,13.875,14.125,133000,14.375,14.0,7.426129341125488
19-01-2001,13.3125,13.875,199700,14.125,13.5,7.160912036895752
22-01-2001,12.875,13.625,219700,14.0625,13.375,7.094603538513184
23-01-2001,13.25,13.25,513900,14.5,14.25,7.558740139007568
24-01-2001,13.625,14.3125,277200,14.3125,14.125,7.492433071136475
25-01-2001,13.9375,14.0625,246400,14.5,14.3125,7.591889381408691
26-01-2001,14.125,14.25,360400,14.3125,14.1875,7.525585651397705
29-01-2001,13.680000305175781,14.100000381469727,507600,14.100000381469727,13.800000190734863,7.320042610168457
30-01-2001,13.75,13.800000190734863,278600,14.0,14.0,7.426129341125488
31-01-2001,14.0,14.0,285700,14.489999771118164,14.100000381469727,7.479173183441162
01-02-2001,14.0,14.199999809265137,137200,14.449999809265137,14.039999961853027,7.447347164154053
02-02-2001,14.039999961853027,14.039999961853027,136100,14.300000190734863,14.050000190734863,7.4526519775390625
05-02-2001,14.0,14.100000381469727,117000,14.399999618530273,14.199999809265137,7.532217025756836
06-02-2001,14.149999618530273,14.199999809265137,124900,14.430000305175781,14.350000381469727,7.611786842346191
07-02-2001,14.119999885559082,14.300000190734863,98900,14.300000190734863,14.199999809265137,7.532217025756836
08-02-2001,14.15999984741211,14.199999809265137,100800,14.449999809265137,14.1899995803833,7.526911735534668
09-02-2001,14.109999656677246,14.170000076293945,209000,14.300000190734863,14.220000267028809,7.542821884155273
12-02-2001,13.819999694824219,14.149999618530273,167100,14.199999809265137,14.180000305175781,7.521605491638184
13-02-2001,14.0,14.180000305175781,138200,14.220000267028809,14.220000267028809,7.542821884155273
14-02-2001,13.899999618530273,13.899999618530273,121400,14.180000305175781,14.130000114440918,7.495082855224609
15-02-2001,14.069999694824219,14.100000381469727,94600,14.25,14.239999771118164,7.553433895111084
16-02-2001,14.039999961853027,14.199999809265137,61000,14.239999771118164,14.100000381469727,7.479173183441162
20-02-2001,14.0,14.149999618530273,49400,14.229999542236328,14.020000457763672,7.436738967895508
21-02-2001,13.859999656677246,14.119999885559082,106200,14.119999885559082,13.949999809265137,7.399609088897705
22-02-2001,13.600000381469727,14.0,151300,14.0,13.600000381469727,7.213954925537109
23-02-2001,13.550000190734863,13.649999618530273,88400,13.9399995803833,13.880000114440918,7.362476825714111
26-02-2001,13.890000343322754,13.890000343322754,285000,14.600000381469727,14.5,7.691349983215332
27-02-2001,14.199999809265137,14.25,170500,14.430000305175781,14.3100004196167,7.590563774108887
28-02-2001,13.899999618530273,14.25,332400,14.5,14.5,7.691349983215332
01-03-2001,13.949999809265137,14.5,65900,14.5,14.380000114440918,7.627695083618164
02-03-2001,14.25,14.279999732971191,156900,14.5,14.5,7.691349983215332
05-03-2001,14.399999618530273,14.399999618530273,171200,14.989999771118164,14.979999542236328,7.945959568023682
06-03-2001,14.649999618530273,14.979999542236328,126200,14.979999542236328,14.800000190734863,7.850480079650879
07-03-2001,14.600000381469727,14.729999542236328,188600,14.949999809265137,14.90999984741211,7.908828258514404
08-03-2001,14.569999694824219,14.90999984741211,146600,14.90999984741211,14.699999809265137,7.797435760498047
09-03-2001,14.600000381469727,14.619999885559082,93100,14.819999694824219,14.739999771118164,7.818653106689453
12-03-2001,14.279999732971191,14.399999618530273,46600,14.680000305175781,14.289999961853027,7.579957485198975
13-03-2001,13.0,14.25,130700,14.25,13.630000114440918,7.229867935180664
14-03-2001,13.630000114440918,13.630000114440918,109200,14.0600004196167,13.729999542236328,7.282910346984863
15-03-2001,13.199999809265137,13.729999542236328,99400,14.0,13.199999809265137,7.001778602600098
16-03-2001,13.210000038146973,13.350000381469727,109500,13.699999809265137,13.5,7.160912036895752
19-03-2001,13.300000190734863,13.5,62800,13.65999984741211,13.600000381469727,7.213954925537109
20-03-2001,13.380000114440918,13.600000381469727,86700,13.829999923706055,13.380000114440918,7.097259998321533
21-03-2001,13.15999984741211,13.399999618530273,58400,13.5,13.300000190734863,7.054823875427246
22-03-2001,12.75,13.100000381469727,277200,13.180000305175781,13.0,6.89569091796875
23-03-2001,12.649999618530273,13.0,272200,13.079999923706055,13.050000190734863,6.922214984893799
26-03-2001,13.039999961853027,13.050000190734863,121700,14.0,13.850000381469727,7.346563339233398
27-03-2001,13.319999694824219,13.75,148900,14.069999694824219,13.949999809265137,7.399609088897705
28-03-2001,13.1899995803833,13.960000038146973,109300,14.0,13.8100004196167,7.32534646987915
29-03-2001,13.449999809265137,13.850000381469727,143300,14.0,13.649999618530273,7.240478038787842
30-03-2001,13.149999618530273,13.699999809265137,229600,13.779999732971191,13.199999809265137,7.001778602600098
02-04-2001,13.020000457763672,13.100000381469727,195200,13.5,13.449999809265137,7.134388446807861
03-04-2001,12.920000076293945,13.4399995803833,180100,13.5,13.449999809265137,7.134388446807861
04-04-2001,12.850000381469727,13.460000038146973,224600,13.460000038146973,13.399999618530273,7.107868194580078
05-04-2001,13.25,13.399999618530273,121000,13.899999618530273,13.899999618530273,7.373085975646973
06-04-2001,13.369999885559082,13.800000190734863,33400,13.800000190734863,13.699999809265137,7.266999244689941
09-04-2001,13.600000381469727,13.600000381469727,151300,13.930000305175781,13.760000228881836,7.298823356628418
10-04-2001,13.770000457763672,13.770000457763672,108300,13.989999771118164,13.899999618530273,7.373085975646973
11-04-2001,13.760000228881836,13.979999542236328,70100,14.0,13.979999542236328,7.415521144866943
12-04-2001,13.5,13.979999542236328,64800,13.979999542236328,13.699999809265137,7.266999244689941
16-04-2001,13.699999809265137,13.699999809265137,309900,14.869999885559082,14.649999618530273,7.77091121673584
17-04-2001,14.199999809265137,14.649999618530273,109600,14.649999618530273,14.479999542236328,7.680739402770996
18-04-2001,14.050000190734863,14.479999542236328,5895500,14.649999618530273,14.050000190734863,7.4526519775390625
19-04-2001,14.069999694824219,14.079999923706055,342000,14.300000190734863,14.180000305175781,7.521605491638184
20-04-2001,14.020000457763672,14.1899995803833,458900,14.399999618530273,14.100000381469727,7.479173183441162
23-04-2001,14.050000190734863,14.149999618530273,493400,14.390000343322754,14.180000305175781,7.521605491638184
24-04-2001,13.75,14.220000267028809,350400,14.220000267028809,13.9399995803833,7.394302845001221
25-04-2001,13.600000381469727,13.949999809265137,798300,14.0,13.699999809265137,7.266999244689941
26-04-2001,13.550000190734863,13.800000190734863,379700,13.800000190734863,13.75,7.293519973754883
27-04-2001,13.550000190734863,13.800000190734863,524000,14.100000381469727,13.920000076293945,7.383694648742676
30-04-2001,14.0,14.149999618530273,184200,14.239999771118164,14.130000114440918,7.495082855224609
01-05-2001,14.0600004196167,14.199999809265137,263900,14.329999923706055,14.25,7.558740139007568
02-05-2001,14.079999923706055,14.350000381469727,107900,14.350000381469727,14.199999809265137,7.532217025756836
03-05-2001,14.029999732971191,14.220000267028809,260000,14.25,14.029999732971191,7.442043781280518
04-05-2001,14.029999732971191,14.029999732971191,78000,14.25,14.229999542236328,7.548131942749023
07-05-2001,14.100000381469727,14.279999732971191,117800,14.279999732971191,14.100000381469727,7.479173183441162
08-05-2001,13.850000381469727,13.850000381469727,185500,14.100000381469727,13.979999542236328,7.415521144866943
09-05-2001,13.920000076293945,13.949999809265137,150100,14.100000381469727,14.0,7.426129341125488
10-05-2001,13.90999984741211,14.0,133700,14.180000305175781,13.949999809265137,7.399609088897705
11-05-2001,13.949999809265137,13.949999809265137,99500,14.100000381469727,14.0,7.426129341125488
14-05-2001,13.920000076293945,13.979999542236328,230900,14.050000190734863,14.050000190734863,7.4526519775390625
15-05-2001,14.050000190734863,14.100000381469727,342900,14.239999771118164,14.239999771118164,7.553433895111084
16-05-2001,15.40999984741211,15.5,1533400,15.899999618530273,15.819999694824219,8.39152717590332
17-05-2001,15.729999542236328,15.75,626100,16.700000762939453,16.5,8.75222396850586
18-05-2001,16.100000381469727,16.299999237060547,216400,16.459999084472656,16.25,8.619613647460938
21-05-2001,16.200000762939453,16.200000762939453,635000,16.979999542236328,16.600000381469727,8.805269241333008
22-05-2001,16.049999237060547,16.600000381469727,276300,16.75,16.049999237060547,8.513526916503906
23-05-2001,15.899999618530273,16.049999237060547,446800,16.239999771118164,16.100000381469727,8.540048599243164
24-05-2001,15.949999809265137,16.100000381469727,524700,16.25,16.18000030517578,8.582483291625977
25-05-2001,16.100000381469727,16.100000381469727,637500,16.600000381469727,16.299999237060547,8.646132469177246
29-05-2001,16.25,16.25,131100,16.540000915527344,16.450000762939453,8.725702285766602
30-05-2001,16.149999618530273,16.459999084472656,107100,16.489999771118164,16.149999618530273,8.566570281982422
31-05-2001,15.800000190734863,16.149999618530273,124000,16.25,16.0,8.487006187438965
01-06-2001,15.649999618530273,15.949999809265137,217200,16.18000030517578,16.0,8.487006187438965
04-06-2001,15.989999771118164,16.100000381469727,87600,16.18000030517578,16.18000030517578,8.582483291625977
05-06-2001,15.75,16.18000030517578,143500,16.360000610351562,16.360000610351562,8.677962303161621
