Date,Low,Open,Volume,High,Close,Adjusted Close
12-06-1997,30.875,32.125,19963800,33.0,31.5,25.088945388793945
13-06-1997,31.75,31.75,3661100,32.875,32.375,25.785863876342773
16-06-1997,30.625,32.25,2481700,32.5,30.875,24.591142654418945
17-06-1997,29.125,30.125,2283800,30.25,29.75,23.69511604309082
18-06-1997,28.125,29.75,1749900,29.75,28.375,22.599960327148438
19-06-1997,28.25,28.5,1269900,29.625,29.375,23.39644432067871
20-06-1997,29.375,29.5,859100,30.25,29.5,23.495996475219727
23-06-1997,28.125,29.875,725000,29.875,28.25,22.50040054321289
24-06-1997,27.125,28.5,1212100,29.625,28.875,22.998193740844727
25-06-1997,28.125,29.125,726600,29.125,28.6875,22.848865509033203
26-06-1997,27.625,28.125,534500,28.5,28.25,22.50040054321289
27-06-1997,27.1875,28.125,441500,28.375,27.25,21.703935623168945
30-06-1997,26.25,27.125,796900,27.625,27.375,21.803489685058594
01-07-1997,26.5,27.25,621300,27.3125,26.9375,21.455036163330078
02-07-1997,26.625,26.9375,818700,27.9375,27.8125,22.151948928833008
03-07-1997,26.75,27.5625,696800,28.1875,28.0625,22.35106658935547
07-07-1997,27.0,28.5,1180500,28.625,27.125,21.604372024536133
08-07-1997,27.125,27.25,595000,27.6875,27.6875,22.052387237548828
09-07-1997,26.375,27.6875,958000,27.6875,26.625,21.206132888793945
10-07-1997,25.125,26.25,1069200,26.3125,25.5,20.31009864807129
11-07-1997,25.375,25.625,674600,26.125,25.9375,20.658565521240234
14-07-1997,25.4375,26.1875,471200,26.25,25.6875,20.459434509277344
15-07-1997,25.0,25.3125,513000,25.5625,25.4375,20.260313034057617
16-07-1997,23.75,25.5625,899600,25.5625,23.8125,18.96605110168457
17-07-1997,23.9375,24.0,1286200,26.25,26.0625,20.75811767578125
18-07-1997,25.3125,26.125,346200,26.5,25.875,20.608776092529297
21-07-1997,25.0,25.8125,216600,25.8125,25.3125,20.160770416259766
22-07-1997,25.125,25.125,351200,25.875,25.625,20.409656524658203
23-07-1997,25.0,25.625,507100,26.125,25.0,19.9118595123291
24-07-1997,24.25,25.0,412800,25.75,24.625,19.613187789916992
25-07-1997,24.1875,24.875,253000,25.0,24.625,19.613187789916992
28-07-1997,24.375,24.875,953700,25.4375,25.25,20.110980987548828
29-07-1997,25.5,25.5,1028100,26.6875,26.6875,21.255924224853516
30-07-1997,26.6875,26.8125,801700,27.9375,27.75,22.10215950012207
31-07-1997,26.6875,27.875,458400,28.0,26.8125,21.355466842651367
01-08-1997,26.25,26.3125,250100,27.0,26.625,21.206132888793945
04-08-1997,26.25,26.375,629700,27.875,27.625,22.002609252929688
05-08-1997,26.5,28.125,1157400,28.4375,27.0625,21.55458641052246
06-08-1997,26.25,27.0625,350500,27.125,26.5,21.1065731048584
07-08-1997,25.75,26.5,456200,26.6875,25.75,20.50921058654785
08-08-1997,24.75,25.5,576100,25.6875,25.25,20.110980987548828
11-08-1997,24.5,25.375,370400,25.375,24.75,19.71274185180664
12-08-1997,24.3125,25.0,910300,25.4375,24.3125,19.364282608032227
13-08-1997,23.8125,24.5,416500,25.1875,24.375,19.414066314697266
14-08-1997,23.9375,24.625,309000,24.75,24.0,19.115386962890625
15-08-1997,22.875,24.0,1385300,24.0,23.0625,18.36869239807129
18-08-1997,22.9375,23.5625,551500,23.6875,23.5,18.717151641845703
19-08-1997,23.375,23.375,380800,24.25,24.25,19.31450653076172
20-08-1997,24.6875,24.875,621500,25.625,25.625,20.409656524658203
21-08-1997,24.5,25.375,479600,25.5625,24.75,19.71274185180664
22-08-1997,24.0,24.125,408100,24.625,24.5,19.51363182067871
25-08-1997,24.1875,25.0,230200,25.0625,24.3125,19.364282608032227
