Date,Low,Open,Volume,High,Close,Adjusted Close
31-12-1981,8.03125,8.140625,109600,8.25,8.1875,0.7860136032104492
04-01-1982,8.125,8.15625,80800,8.15625,8.125,0.780013382434845
05-01-1982,7.90625,8.03125,138400,8.125,7.90625,0.7590131759643555
06-01-1982,7.65625,7.78125,151600,7.90625,7.71875,0.7410133481025696
07-01-1982,7.625,7.6875,96800,7.71875,7.65625,0.735013484954834
08-01-1982,7.65625,7.71875,258800,7.75,7.6875,0.7380133867263794
11-01-1982,7.46875,7.59375,160000,7.6875,7.46875,0.717012882232666
12-01-1982,7.125,7.3125,249200,7.46875,7.28125,0.699012279510498
13-01-1982,7.125,7.21875,227200,7.3125,7.15625,0.6870123744010925
14-01-1982,7.125,7.1875,52800,7.25,7.1875,0.6900124549865723
15-01-1982,7.1875,7.25,75200,7.3125,7.25,0.6960122585296631
18-01-1982,7.09375,7.1875,243200,7.25,7.09375,0.6810122132301331
19-01-1982,7.21875,7.28125,395600,7.34375,7.3125,0.7020125985145569
20-01-1982,7.3125,7.5,548000,7.65625,7.59375,0.7290132641792297
21-01-1982,7.65625,7.75,395600,7.8125,7.75,0.7440131306648254
22-01-1982,7.6875,7.71875,341600,7.75,7.71875,0.7410133481025696
25-01-1982,7.625,7.6875,253600,7.71875,7.71875,0.7410133481025696
26-01-1982,7.65625,7.75,262800,7.8125,7.65625,0.735013484954834
27-01-1982,7.5,7.59375,349600,7.65625,7.5,0.7200129628181458
28-01-1982,7.46875,7.53125,154000,7.59375,7.5,0.7200129628181458
29-01-1982,7.5625,7.71875,309600,7.84375,7.8125,0.7500133514404297
01-02-1982,7.625,7.71875,272000,7.78125,7.625,0.7320133447647095
02-02-1982,7.53125,7.625,140400,7.6875,7.625,0.7320133447647095
03-02-1982,7.5625,7.65625,142000,7.75,7.5625,0.7260130643844604
04-02-1982,7.53125,7.59375,93600,7.625,7.5625,0.7260130643844604
05-02-1982,7.6875,7.8125,149600,7.90625,7.875,0.756013035774231
08-02-1982,7.90625,8.0,177200,8.0625,7.9375,0.7620131969451904
09-02-1982,7.96875,8.0,108400,8.03125,8.0,0.7680140137672424
10-02-1982,7.9375,8.0625,299200,8.15625,7.9375,0.7620131969451904
11-02-1982,7.9375,7.96875,138800,7.96875,7.9375,0.7620131969451904
12-02-1982,7.90625,7.9375,42400,7.96875,7.9375,0.7620131969451904
16-02-1982,7.6875,7.71875,258400,7.75,7.71875,0.7502283453941345
17-02-1982,7.625,7.71875,221200,7.78125,7.625,0.7411161661148071
18-02-1982,7.5,7.59375,101200,7.65625,7.5625,0.7350417971611023
19-02-1982,7.40625,7.46875,254400,7.53125,7.40625,0.7198550701141357
22-02-1982,7.4375,7.5,174800,7.5625,7.4375,0.7228922247886658
23-02-1982,7.1875,7.3125,281200,7.40625,7.3125,0.7107427716255188
24-02-1982,7.1875,7.25,208000,7.3125,7.21875,0.7016305327415466
25-02-1982,7.1875,7.21875,405200,7.25,7.1875,0.6985930800437927
