Date,Low,Open,Volume,High,Close,Adjusted Close
13-02-1992,2.0,2.0,18506400,2.09375,2.046875,1.6675201654434204
14-02-1992,2.0625,2.0625,3128000,2.28125,2.25,1.832999348640442
18-02-1992,2.0625,2.21875,2584800,2.28125,2.0625,1.6802488565444946
19-02-1992,2.03125,2.09375,2454400,2.15625,2.15625,1.756624698638916
20-02-1992,2.125,2.125,1304000,2.28125,2.21875,1.807540774345398
21-02-1992,2.21875,2.21875,616800,2.28125,2.28125,1.858458161354065
24-02-1992,2.21875,2.21875,772800,2.3125,2.3125,1.8839155435562134
25-02-1992,2.25,2.265625,517600,2.3125,2.28125,1.858458161354065
26-02-1992,2.25,2.3125,851200,2.34375,2.34375,1.90937340259552
27-02-1992,2.28125,2.28125,555200,2.4375,2.40625,1.9602904319763184
28-02-1992,2.375,2.4375,1108800,2.59375,2.53125,2.062124252319336
02-03-1992,2.46875,2.59375,873600,2.609375,2.5625,2.0875837802886963
03-03-1992,2.4375,2.546875,512000,2.5625,2.46875,2.011207342147827
04-03-1992,2.4375,2.46875,163200,2.53125,2.4375,1.9857486486434937
05-03-1992,2.34375,2.53125,707200,2.53125,2.34375,1.90937340259552
06-03-1992,2.34375,2.390625,765600,2.4375,2.34375,1.90937340259552
09-03-1992,2.34375,2.34375,766400,2.4375,2.390625,1.9475613832473755
10-03-1992,2.34375,2.34375,93600,2.4375,2.4375,1.9857486486434937
11-03-1992,2.4375,2.5,222400,2.53125,2.453125,1.998477816581726
12-03-1992,2.4375,2.4375,89600,2.53125,2.4375,1.9857486486434937
13-03-1992,2.4375,2.4375,211200,2.5625,2.53125,2.062124252319336
16-03-1992,2.5,2.5,94400,2.5625,2.5625,2.0875837802886963
17-03-1992,2.46875,2.46875,150400,2.5625,2.46875,2.011207342147827
18-03-1992,2.46875,2.46875,52000,2.46875,2.46875,2.011207342147827
19-03-1992,2.4375,2.5625,68800,2.5625,2.4375,1.9857486486434937
20-03-1992,2.4375,2.4375,124800,2.53125,2.53125,2.062124252319336
23-03-1992,2.4375,2.4375,314400,2.515625,2.484375,2.0239360332489014
24-03-1992,2.4375,2.46875,437600,2.515625,2.4375,1.9857486486434937
25-03-1992,2.4375,2.53125,79200,2.53125,2.46875,2.011207342147827
26-03-1992,2.40625,2.40625,47200,2.421875,2.40625,1.9602904319763184
27-03-1992,2.4375,2.5,79200,2.5,2.5,2.03666615486145
30-03-1992,2.4375,2.4375,46400,2.5,2.46875,2.011207342147827
31-03-1992,2.4375,2.4375,107200,2.5,2.5,2.03666615486145
