Date,Low,Open,Volume,High,Close,Adjusted Close
29-06-1998,27.9375,28.25,6307500,28.875,28.5625,11.760396003723145
30-06-1998,27.75,28.4375,1537600,28.4375,27.8125,11.451586723327637
01-07-1998,27.125,27.75,593100,28.0,27.875,11.47731876373291
02-07-1998,27.25,27.75,563600,27.75,27.6875,11.400120735168457
06-07-1998,27.125,27.6875,616800,27.6875,27.1875,11.19424819946289
07-07-1998,26.9375,27.1875,623500,27.25,27.0625,11.142777442932129
08-07-1998,27.0,27.0625,392300,27.25,27.25,11.219980239868164
09-07-1998,26.75,27.125,293100,27.1875,27.0,11.117047309875488
10-07-1998,26.3125,27.0,384300,27.0,27.0,11.117047309875488
13-07-1998,26.3125,26.75,385500,26.9375,26.875,11.065576553344727
14-07-1998,26.5,26.8125,668400,27.125,27.0,11.117047309875488
15-07-1998,26.5625,26.875,232800,26.9375,26.9375,11.091307640075684
16-07-1998,26.5,26.8125,403600,26.875,26.625,10.96263599395752
17-07-1998,26.3125,26.625,543500,26.625,26.5,10.911175727844238
20-07-1998,26.0,26.3125,542000,26.375,26.3125,10.833976745605469
21-07-1998,25.875,26.1875,218800,26.3125,26.0,10.705307006835938
22-07-1998,25.75,26.0625,506500,26.0625,26.0625,10.731038093566895
23-07-1998,26.0625,26.0625,446200,26.375,26.3125,10.833976745605469
24-07-1998,26.0,26.125,515800,26.1875,26.125,10.756772994995117
27-07-1998,25.8125,26.0,384800,26.25,26.1875,10.782502174377441
28-07-1998,25.375,26.0625,816900,26.1875,25.75,10.602372169494629
29-07-1998,25.0625,25.5625,522200,25.75,25.5,10.499428749084473
30-07-1998,25.3125,25.375,467900,25.9375,25.75,10.602372169494629
31-07-1998,25.0,25.75,386800,25.75,25.1875,10.37076473236084
03-08-1998,24.5625,25.0,649200,25.125,24.875,10.242096900939941
04-08-1998,23.75,24.6875,617600,24.6875,24.0625,9.907551765441895
05-08-1998,24.125,24.25,501300,25.125,25.125,10.345026016235352
06-08-1998,24.5,25.125,568500,25.125,24.75,10.19062328338623
07-08-1998,24.25,24.625,351500,24.8125,24.4375,10.061956405639648
10-08-1998,24.5,24.5,749400,25.0,24.75,10.19062328338623
11-08-1998,24.0,24.5,358400,24.5625,24.1875,9.959020614624023
12-08-1998,24.125,24.1875,399000,25.125,25.125,10.345026016235352
13-08-1998,24.6875,24.875,206500,25.0625,24.9375,10.267826080322266
14-08-1998,24.5,24.6875,195700,24.875,24.75,10.19062328338623
17-08-1998,24.8125,25.0,520500,25.3125,25.25,10.396495819091797
