Date,Low,Open,Volume,High,Close,Adjusted Close
10-11-1999,64.5,65.0,80793700,70.3125,68.25,38.16737365722656
11-11-1999,68.75,68.75,28309000,76.9375,75.0,41.942169189453125
12-11-1999,69.25,76.0,14768100,76.625,70.5,39.425655364990234
15-11-1999,67.3125,70.5,8675100,70.875,69.0,38.58680725097656
16-11-1999,65.0,67.875,6978600,68.0,66.0,36.909122467041016
17-11-1999,65.125,65.5625,5806900,68.1875,67.6875,37.852813720703125
18-11-1999,66.125,67.9375,4718700,68.9375,66.3125,37.08388137817383
19-11-1999,64.25,66.3125,5091100,66.3125,65.0,36.34989547729492
22-11-1999,61.0,64.0625,4785400,64.25,63.125,35.301334381103516
23-11-1999,63.25,63.375,2832200,67.0,66.1875,37.01396942138672
24-11-1999,65.9375,66.0,2179400,68.1875,67.6875,38.02516555786133
26-11-1999,68.1875,68.4375,1322500,69.4375,69.125,38.832725524902344
29-11-1999,67.0,70.0,1987000,70.25,68.125,38.27095413208008
30-11-1999,66.0625,67.375,1686100,67.625,66.0625,37.112274169921875
01-12-1999,65.625,66.25,1405700,67.375,65.875,37.0069465637207
02-12-1999,65.875,66.0,1391000,67.0625,67.0625,37.67405700683594
03-12-1999,66.3125,67.4375,1753500,67.6875,66.4375,37.32294845581055
06-12-1999,65.375,66.5,1398900,66.5,66.25,37.21760940551758
07-12-1999,65.875,65.9375,1793100,68.0,68.0,38.20071792602539
08-12-1999,66.75,68.0,1774000,68.375,68.375,38.411376953125
09-12-1999,66.625,68.375,1713600,68.75,67.5,37.91982650756836
10-12-1999,65.375,66.375,1248600,67.0,66.125,37.147377014160156
13-12-1999,64.875,66.375,1417800,66.9375,66.0,37.07717514038086
14-12-1999,64.75,66.0,1886600,66.0,65.0,36.515403747558594
15-12-1999,63.6875,65.0,1602800,65.0625,63.75,35.81317138671875
16-12-1999,63.25,63.75,1364600,64.0625,64.0,35.95362091064453
17-12-1999,64.6875,64.75,1980800,67.625,66.625,37.42827224731445
20-12-1999,66.9375,67.6875,1501300,68.5,68.5,38.481590270996094
21-12-1999,67.5,68.25,1265200,69.0,69.0,38.76250076293945
22-12-1999,66.0625,68.9375,1264700,68.9375,67.0,37.638954162597656
23-12-1999,65.625,66.5,1180600,67.875,67.75,38.060279846191406
27-12-1999,67.5,68.5,1478800,69.6875,69.6875,39.14872360229492
28-12-1999,68.0625,69.5,1051400,69.6875,69.0,38.76250076293945
29-12-1999,67.5625,69.0,904700,69.375,68.0,38.20071792602539
30-12-1999,68.0,69.25,926700,69.5,68.0,38.20071792602539
31-12-1999,68.375,68.875,649300,69.5,69.0,38.76250076293945
